fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.6772486772486772,0.580314271490742,0.5791304165090573,0.5781461938618849,-0.035632183908045956,0.03589743589743588,-0.052421652421652434,-0.035632183908045956,-0.2857142857142857,-0.15194805194805194,eo
2,0.6296296296296297,0.5555258784425451,0.5500113222156481,0.5496042391763543,0.11596820809248554,-0.05945945945945946,0.04413390663390662,0.11596820809248554,0.09948979591836737,-0.05440095966411754,eo
3,0.7407407407407407,0.7058638331365605,0.6695868655272981,0.6839320549880855,0.09845201238390092,0.33333333333333337,0.14476885644768858,0.09845201238390092,-0.43902439024390244,-0.28540366799016825,eo
4,0.656084656084656,0.5750566893424036,0.5702947845804989,0.5717888790609855,-0.06233630172865376,-0.20161290322580644,-0.13413978494623655,-0.06233630172865376,-0.20161290322580644,-0.13413978494623655,eo
5,0.708994708994709,0.6490166557774432,0.6480083857442348,0.6397472259541225,0.21859039836567926,0.17142857142857149,0.09911754911754914,0.21859039836567926,-0.39215686274509803,-0.2551335494827852,eo
6,0.6329787234042553,0.5822261072261071,0.5772283272283273,0.5732475074519477,0.10606060606060605,-0.24761904761904763,0.01512177390039987,0.10606060606060605,-0.3469387755102041,-0.08554287856875034,eo
7,0.7180851063829787,0.6134407835306424,0.6191858525191858,0.5976763976763977,0.23439211391018622,0.11428571428571432,0.13225701239399873,0.23439211391018622,0.11428571428571432,0.13225701239399873,eo
8,0.6702127659574468,0.5828167428714625,0.5767951625094482,0.5762774312074779,0.023255813953488386,0.0714285714285714,-0.038912579957356086,0.023255813953488386,-0.3111111111111111,-0.12873468941382327,eo
9,0.6170212765957447,0.5491909385113268,0.5600914049830458,0.5489458113320601,-0.08575581395348836,0.17105263157894735,-0.007757266300078572,-0.08575581395348836,0.7551020408163265,0.33196449311431886,eo
10,0.6702127659574468,0.6150741614943032,0.610909090909091,0.6108851830887795,0.12524084778420036,0.28717948717948727,0.1338882510524302,0.12524084778420036,0.28717948717948727,-0.15063226247436773,eo
