fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.9451786588350465,0.948291782086796,0.9558165593292015,0.9483943316829572,0.05054042522932517,0.0,-0.050286475299888854,0.05054042522932517,0.09565303194759656,-0.050286475299888854,cp
2,0.9334312285854136,0.9405854084753167,0.9462807755490683,0.938431744799291,0.03982196463586041,0.0,-0.06147643604022782,0.03982196463586041,0.10737327188940082,-0.06147643604022782,cp
3,0.9476260401370533,0.9532546963739624,0.9573799801702542,0.9522663835421543,0.10452472561441278,0.0,-0.030358710520405875,0.10452472561441278,0.05555555555555558,-0.030358710520405875,cp
4,0.9397944199706314,0.9445945945945947,0.9516651210545491,0.9440009134125615,0.058238039875756986,0.0,-0.03756754001427261,0.058238039875756986,0.09375,0.046875,cp
5,0.9368575624082232,0.9423711123057528,0.949567873763097,0.941286999766532,0.005703330044859789,0.0,-0.046902811757614446,0.005703330044859789,0.09662722698218407,0.04831361349109203,cp
6,0.9451786588350465,0.9507464179847646,0.9558909496033835,0.9500627877484615,0.07751412852277406,-0.0016920473773265332,-0.04220854562887445,0.07751412852277406,0.06789142358514078,-0.04220854562887445,cp
7,0.9490944689182574,0.9545056867891514,0.9572200482027626,0.9528506802586375,0.0870156343147247,0.0,-0.030475293361665462,0.0870156343147247,0.050000000000000044,-0.030475293361665462,cp
8,0.9495592556317336,0.954507117302276,0.9573200822187035,0.9530444305061027,0.07247260634266811,0.0,-0.03735122686883508,0.07247260634266811,0.06346258688837392,-0.03735122686883508,cp
9,0.9407443682664055,0.9468599033816426,0.9509648741404878,0.9451089394692999,0.01743619827928572,0.0,-0.06444137258090746,0.01743619827928572,0.12195121951219512,-0.06444137258090746,cp
10,0.9353574926542605,0.9422956100889467,0.9456540708226187,0.9393032792492563,0.06019533947112998,-0.001808318264014508,-0.025073791397724927,0.06019533947112998,0.07407407407407407,0.037037037037037035,cp
