fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.9194630872483222,0.9367341294783156,0.9119938619938621,0.9189144759068032,0.0049833887043189695,0.0,-0.002937538651824362,cp
2,0.9194630872483222,0.9321528424976702,0.920304548186736,0.9185500245368665,0.10400144196106703,0.0,0.0369073275862069,cp
3,0.9530201342281879,0.9567937438905181,0.9480701754385965,0.9491948541377597,0.09439421338155513,0.0,0.007923497267759563,cp
4,0.9060402684563759,0.9064880952380951,0.9026432334360723,0.9021615551303321,0.020223907547851222,0.0,0.0037135278514588838,cp
5,0.9261744966442953,0.9402289562289562,0.922853046594982,0.9281558084367587,0.039924670433145015,0.0,0.00470473718364698,cp
6,0.9060402684563759,0.9173078149920254,0.9039068700943644,0.9060204030353283,0.07685352622061484,0.09090909090909094,0.044065270655990314,cp
7,0.9395973154362416,0.942550505050505,0.9390924369747898,0.940385057438655,0.050343249427917625,-0.11538461538461542,-0.08136655011655014,cp
8,0.9261744966442953,0.923103448275862,0.932292061386889,0.923177936613164,0.014249639249639262,0.09999999999999998,0.04804496578690126,cp
9,0.9463087248322147,0.9414736842105264,0.9368999801940978,0.9357150281632289,0.06175514626218853,0.0,-0.0003840245775729653,cp
10,0.9194630872483222,0.9253348612172141,0.9235772669220944,0.9222276890382638,0.14468468468468468,-0.05555555555555558,0.0006972559604138395,cp
