fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.8095238095238095,0.8213393800904383,0.8231658513144109,0.8216933357676668,-0.047619047619047616,0.11236095488063991,0.000799991912775605,-0.047619047619047616,0.179858934169279,0.06748722286021706,cp
2,0.8418367346938775,0.8570691885868991,0.8381424951737452,0.8453784121686857,-0.1120767273439029,0.10978835978835977,0.006826977991117145,-0.1120767273439029,0.1559571619812583,0.042988020889936904,cp
3,0.8316326530612245,0.837534324018737,0.844742799352377,0.8368925308966615,-0.10040407003880675,0.11558109833971908,-0.0162894042655983,-0.10040407003880675,0.18181818181818188,0.05353535353535357,cp
4,0.8350340136054422,0.835780436707326,0.845746396849338,0.8401442153569493,-0.06117060290450349,0.18303504286358852,0.03395065907041135,-0.06117060290450349,0.18303504286358852,0.06060785653059038,cp
5,0.8469387755102041,0.8708183519905108,0.8413327824621986,0.8512138234885557,-0.04556664709336461,0.19620689655172407,0.0594903315490269,-0.04556664709336461,0.19620689655172407,0.0594903315490269,cp
6,0.858603066439523,0.864185055066514,0.8644566605586096,0.8636956175357856,-0.10918464251797583,0.06514369933677233,-0.038510292187515144,-0.10918464251797583,0.2348051948051948,0.10767174854131376,cp
7,0.868824531516184,0.8726242906354535,0.8675177943572593,0.8699534698227795,-0.06415070078436419,0.10687245195107753,0.02605552385235188,-0.06415070078436419,0.10687245195107753,0.032709900936501904,cp
8,0.8415672913117547,0.8578284374671391,0.8381789866629683,0.845561093225757,-0.10114261531950913,0.10274930102516311,0.031527612860311346,-0.10114261531950913,0.10274930102516311,0.031527612860311346,cp
9,0.8654173764906303,0.8709009938369127,0.8671628910974422,0.8683045421958049,-0.09823479966377135,0.13899868247694336,0.03570975027873907,-0.09823479966377135,0.13899868247694336,-0.04298155737704917,cp
10,0.8705281090289608,0.8888221955448846,0.8625878109003225,0.8714160362763105,0.014384365168239738,0.17876588021778583,0.06796573621387497,0.014384365168239738,0.17876588021778583,0.06796573621387497,cp
