fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.8401360544217688,0.8507116381509082,0.8430125887237176,0.8465246364097307,0.009189640768588136,0.23897012873390822,0.07621358911018473,eo
2,0.8605442176870748,0.8729805282436862,0.8601893347429063,0.8638807063164937,-0.071090232922294,0.15428090428090424,0.05025969091535548,eo
3,0.8690476190476191,0.8713347829368875,0.8713347829368875,0.8713347829368875,-0.040833744515716086,0.1222860791826309,0.029526773750111125,eo
4,0.8605442176870748,0.8751246601948873,0.8510537120831239,0.8608142883589013,0.026911331297424873,0.2630470747480824,0.12086904726749631,eo
5,0.8469387755102041,0.8653811357352749,0.8419557228020172,0.8506079291594612,0.028498727735368934,0.2871264367816092,0.14078042657371675,eo
6,0.8654173764906303,0.8763505927326513,0.8619876569651682,0.8681989048988461,-0.009171075837742515,0.1416359616801769,0.05615579973551878,eo
7,0.8568994889267462,0.8600635376101661,0.854388764338597,0.8571031928696162,-0.05709142342805712,0.10177635410599883,0.02920959811669502,eo
8,0.8330494037478705,0.8475666823193378,0.8267946436138655,0.835320855157703,-0.03575962759204404,0.21225535880708302,0.10832521539468215,eo
9,0.8500851788756388,0.8587194129747321,0.8485860768847132,0.8529405155036752,-0.013589240683664905,0.300395256916996,0.13595284093661353,eo
10,0.8415672913117547,0.8548586914440574,0.8353038155760513,0.842887291417972,0.023796192609182504,0.21355111917725345,0.08450868072800038,eo
