fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.7104,0.7112315856446515,0.5440823932867996,0.5706281268020511,-0.16628064080293375,-0.1348060039648824,-0.15174594503160993,-0.16628064080293375,0.18323920935861226,0.1528273908790855,cp
2,0.728,0.7456343943412909,0.5695501769078887,0.6061301444293805,-0.08883310389505228,-0.08620365142104269,-0.060359508925651395,-0.08883310389505228,-0.17647058823529413,-0.08934887986374951,cp
3,0.6848,0.7752991244511772,0.5337043827897486,0.5615579581858282,-0.15496773165484817,-0.08181818181818179,-0.11758967368151997,-0.15496773165484817,0.15782958531050129,0.14770531507624254,cp
4,0.7056,0.7609385996845044,0.5644318260204306,0.6079268562821194,-0.12942903421745294,-0.10770269256731424,-0.10141097931118004,-0.12942903421745294,-0.25,-0.12210982658959538,cp
5,0.7008,0.7332361034462538,0.5479442122593718,0.5775508449607882,-0.1673362497396066,-0.08595317725752505,-0.11726850791208529,-0.1673362497396066,0.17343687773795302,0.1317184388689765,cp
6,0.7232,0.7298884522811694,0.5572578133243141,0.5811414236584016,-0.07730048262805644,-0.028492795855593278,-0.02601562869702742,-0.07730048262805644,-0.16666666666666666,-0.0844419807834442,cp
7,0.6794871794871795,0.5271428571428571,0.4894215210355987,0.49819932638622033,-0.08154506437768239,-0.0450883866636832,-0.10371991489381104,-0.08154506437768239,0.18746829020801625,0.15467164510400813,cp
8,0.7243589743589743,0.7080360352264558,0.5830218301435407,0.6156224089059527,-0.05762489941215787,-0.05577005577005578,-0.025887633182466036,-0.05762489941215787,-0.2,-0.10221238938053098,cp
9,0.7067307692307693,0.7189226697146843,0.5385207323744463,0.5677701712547171,-0.15644513826940226,-0.15088122605363985,-0.11805840956398936,-0.15644513826940226,-0.15088122605363985,-0.11805840956398936,cp
10,0.6826923076923077,0.6472391216650857,0.5401214832594807,0.5592404499464569,-0.11987833243871887,-0.13321023476655236,-0.0902710410754225,-0.11987833243871887,-0.15,0.09664925429631312,cp
