fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.608,0.4946063595668098,0.4393594077116109,0.4514360527485136,-0.08835856288085586,0.06131407533276689,-0.06465159339127483,-0.08835856288085586,0.21954417103670842,0.11128448721224411,cp
2,0.6144,0.5581514723399541,0.44834864989023326,0.4697365573297422,-0.0688584770696683,-0.0792396009787314,-0.05356779103310094,-0.0688584770696683,-0.152014652014652,-0.09363695563695562,cp
3,0.608,0.6283362470862471,0.46385990928673854,0.49191506452045464,-0.1560433431599076,-0.09848484848484851,-0.1301404390673369,-0.1560433431599076,0.15578539107950873,-0.1301404390673369,cp
4,0.5648,0.5243756631990242,0.42839950167328245,0.45053534535801554,0.029661874873456173,0.05295132378309453,0.04476923987319861,0.029661874873456173,-0.33707865168539325,-0.18488547968885047,cp
5,0.6016,0.5447581801757834,0.4393499873353596,0.4591862582735911,-0.08122786655953335,0.002842809364548504,-0.044004348643216645,-0.08122786655953335,0.09856630824372759,0.0661657452149812,cp
6,0.6208,0.5466158552259524,0.44835048793816645,0.4641705715086707,-0.06771458283337328,-0.10377205763315522,-0.04792449035503915,-0.06771458283337328,-0.22254004576659042,-0.1266414439150936,cp
7,0.6201923076923077,0.5658655966674835,0.462134188626907,0.4847065568080684,-0.00526973434019673,0.03591407473707764,-0.022683879439610588,-0.00526973434019673,-0.2,-0.10443458980044347,cp
8,0.6009615384615384,0.590798471776351,0.4779058204222678,0.5096155813015738,-0.04740926635660603,0.03432003432003439,-0.01868453342617471,-0.04740926635660603,-0.2,-0.10331858407079647,cp
9,0.6057692307692307,0.6144949944382647,0.4573944896717385,0.48642634023138237,-0.07259143621766284,0.01586206896551723,-0.03488057719783405,-0.07259143621766284,-0.21428571428571427,-0.10483319965540801,cp
10,0.5801282051282052,0.5660032785387265,0.44864364704090637,0.4750781218211226,-0.020218285918768952,-0.016090741229227046,-0.00055006883584513,-0.020218285918768952,-0.1388888888888889,-0.07987663520450405,cp
