fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,eta
1,0.395,0.3674632747059388,0.3233876736031909,0.2931589966528424,0.1721785861926415,0.3353535353535353,0.1479985767657,0.1721785861926415,0.3353535353535353,0.1479985767657,dp,1.0
2,0.455,0.4518921567898266,0.4259072517896047,0.4272257794517681,0.2884363343078939,0.05,0.1109449192782526,0.2884363343078939,0.2679738562091502,-0.1347632333565837,dp,1.0
3,0.39,0.3888969055635722,0.3902910685805422,0.3493019093788748,0.146266829865361,0.1166666666666667,0.0455300988319856,0.146266829865361,-0.3333333333333333,-0.206043956043956,dp,1.0
4,0.475,0.4836483957219251,0.4490310448425504,0.4524573988773944,0.3210889800820738,-0.1129568106312292,0.035188261351052,0.3210889800820738,0.2801120448179272,-0.1751545530492899,dp,1.0
5,0.4221105527638191,0.4185178131958279,0.4031818181818182,0.3970516522679904,0.3233029381965552,0.5512820512820513,0.3513986013986014,0.3233029381965552,0.5512820512820513,0.3513986013986014,dp,1.0
6,0.4371859296482412,0.4251196386789607,0.4096376033010017,0.4082286876913549,0.345748987854251,0.7317073170731707,0.4495710164474916,0.345748987854251,0.7317073170731707,0.4495710164474916,dp,1.0
7,0.4221105527638191,0.4577777777777777,0.4199282296650717,0.4032373711443007,0.3485858585858585,0.3555555555555556,0.2837606837606838,0.3485858585858585,0.3555555555555556,0.2837606837606838,dp,1.0
8,0.4120603015075377,0.4185300139321399,0.3961124602588017,0.3960555096038967,0.2587878787878788,0.0227272727272727,0.1059663650955785,0.2587878787878788,0.5,0.2610659439927733,dp,1.0
9,0.4371859296482412,0.4406680981853396,0.4187437962247454,0.4078372469012651,0.3241414141414142,0.6923076923076923,0.4164287602431932,0.3241414141414142,0.6923076923076923,0.4164287602431932,dp,1.0
10,0.4070351758793969,0.4206699583433882,0.398630021141649,0.3876426811065986,0.3688888888888889,0.4587813620071684,0.3354293283465794,0.3688888888888889,0.4587813620071684,0.3354293283465794,dp,1.0
