fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,eta
1,0.475,0.386678745299435,0.4053300293602017,0.3866552311495627,0.447912360479537,0.3171717171717171,0.2953547213821186,0.447912360479537,-0.45625,0.2953547213821186,eo,1.0
2,0.475,0.4835421135421135,0.4475505757858699,0.4305263157894737,0.2867224518600665,-0.0045454545454546,0.0912695329361995,0.2867224518600665,0.3235294117647058,0.2011172452348922,eo,1.0
3,0.475,0.4343330161218092,0.4768440988835726,0.428268108538676,0.3361893104855161,0.3083333333333333,0.2262690925426774,0.3361893104855161,0.3083333333333333,0.2262690925426774,eo,1.0
4,0.525,0.5057621097438031,0.4895184154890397,0.4794940768069241,0.3107797017315584,-0.1362126245847176,0.0263381321520856,0.3107797017315584,0.3157894736842105,-0.227344390030767,eo,1.0
5,0.4522613065326633,0.4016538831376408,0.4243434343434343,0.4026889233954451,0.275177304964539,0.4102564102564103,0.2657342657342657,0.275177304964539,-0.5608108108108109,-0.2799532440742425,eo,1.0
6,0.4522613065326633,0.3923923444976076,0.4182298578174115,0.3949397878499699,0.3508097165991903,-0.1951219512195121,-0.0061631261473904,0.3508097165991903,-0.1951219512195121,0.0654685903983656,eo,1.0
7,0.4522613065326633,0.4285030758714969,0.4555285942128048,0.4093129929431299,0.3177777777777778,0.0507936507936508,0.1343711843711844,0.3177777777777778,-0.4166666666666667,-0.2205772513871105,eo,1.0
8,0.4472361809045226,0.4190340570985731,0.4174281725501238,0.3899198717948718,0.2575757575757575,-0.05,0.036898073836276,0.2575757575757575,0.2222222222222222,0.1468684131285757,eo,1.0
9,0.457286432160804,0.4110235358511221,0.4353189550520461,0.4160642926078622,0.3647474747474747,0.7948717948717948,0.4740681998413957,0.3647474747474747,0.7948717948717948,0.4740681998413957,eo,1.0
10,0.4170854271356783,0.3761115411800343,0.4243756166314306,0.376582423406701,0.4083838383838383,0.4121863799283154,0.34063425276609,0.4083838383838383,0.4121863799283154,0.34063425276609,eo,1.0
1,0.47,0.3563696386749976,0.3892923653699515,0.3615034467666046,0.4489458453906572,0.3353535353535353,0.3066200162090572,0.4489458453906572,0.3353535353535353,0.3066200162090572,eo,1.5
2,0.47,0.442221261056891,0.4357422969187675,0.4167811857173559,0.3050710757132776,0.0409090909090908,0.1139968056634723,0.3050710757132776,0.2712418300653595,-0.2126954971712005,eo,1.5
3,0.46,0.4167173638905641,0.4653708133971291,0.4208302200083021,0.3421052631578947,0.275,0.2190363881401617,0.3421052631578947,0.275,0.2190363881401617,eo,1.5
4,0.49,0.4620332577475434,0.4564539890953599,0.4478595317725752,0.2392152937643879,-0.3023255813953488,-0.0844961240310077,0.2392152937643879,0.3157894736842105,0.1940668980142664,eo,1.5
5,0.4371859296482412,0.3664625478159312,0.4082828282828282,0.3791802222678027,0.25612968591692,0.2692307692307693,0.1781759906759907,0.25612968591692,-0.5067567567567568,-0.2389996480473963,eo,1.5
6,0.457286432160804,0.3925948561242679,0.422644084705506,0.3978051041861817,0.392004048582996,0.3292682926829268,0.2667846839758719,0.392004048582996,0.3292682926829268,0.2667846839758719,eo,1.5
7,0.4522613065326633,0.4309688346883469,0.4543563454089769,0.4019720501541132,0.357979797979798,0.1079365079365078,0.174053724053724,0.357979797979798,-0.380952380952381,-0.2027201085299677,eo,1.5
8,0.4472361809045226,0.4167432950191571,0.4204543694787597,0.3942947477093818,0.2576767676767676,0.0272727272727273,0.0755344374726397,0.2576767676767676,0.2777777777777778,0.1745709123757904,eo,1.5
9,0.3969849246231156,0.3545936472123892,0.375345941748595,0.3572214128132175,0.2943434343434343,0.358974358974359,0.2458102035421623,0.2943434343434343,0.358974358974359,0.2458102035421623,eo,1.5
10,0.4271356783919598,0.3858173829300589,0.4340873854827343,0.3880193842075915,0.4084848484848485,0.5232974910394266,0.3889434315100514,0.4084848484848485,0.5232974910394266,0.3889434315100514,eo,1.5
1,0.495,0.4136205584918887,0.4261623918951505,0.4077595950660965,0.4441918147995039,0.206060606060606,0.247735673763071,0.4441918147995039,-0.51875,-0.3228263274336283,eo,2.0
2,0.46,0.4523481152993348,0.4324183006535948,0.4138125953889189,0.248210505091239,-0.0272727272727273,0.058348441681775,0.248210505091239,0.2679738562091502,0.1463124404300874,eo,2.0
3,0.475,0.4377685492801772,0.4768839712918661,0.4285852686240055,0.3449612403100776,0.3083333333333333,0.2309860736747529,0.3449612403100776,0.3083333333333333,0.2309860736747529,eo,2.0
4,0.505,0.4797306401992905,0.4743683097807945,0.4666822449709595,0.2901611450305275,-0.1362126245847176,0.0152270210409745,0.2901611450305275,0.3684210526315789,0.2034412955465586,eo,2.0
5,0.4522613065326633,0.4009126443726371,0.426010101010101,0.4017311169606802,0.274062816616008,0.4358974358974359,0.2728729603729604,0.274062816616008,-0.5067567567567568,0.2728729603729604,eo,2.0
6,0.4623115577889447,0.401711290318161,0.4281071331229341,0.4048015873015872,0.3411943319838056,0.2804878048780488,0.2262654078153684,0.3411943319838056,0.2804878048780488,0.2262654078153684,eo,2.0
