fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,eta
1,0.5767195767195767,0.4651358934196258,0.4659283542778689,0.464954156247632,0.6448275862068966,0.1435897435897436,0.5088319088319089,0.6448275862068966,-0.9032258064516128,-0.6059338908801274,cp,1.0
2,0.6455026455026455,0.5500173828396607,0.5582838442939685,0.5534419226678903,0.0697254335260115,-0.2216216216216215,-0.044300115623645,0.0697254335260115,-0.2894736842105263,-0.0834832808517019,cp,1.0
3,0.7248677248677249,0.6630549050221181,0.6483710352539402,0.6444799658994033,0.1040247678018575,0.2727272727272727,0.1282823016399658,0.1040247678018575,0.2727272727272727,0.1282823016399658,cp,1.0
4,0.6878306878306878,0.6354989567594792,0.6185679399965114,0.6191343901508962,0.0500261917234153,0.0766129032258065,0.0049731182795699,0.0500261917234153,0.1264367816091953,0.0426487705514331,cp,1.0
5,0.7195767195767195,0.6624347450035524,0.6488207547169811,0.6475072535637074,0.2354443309499489,0.2571428571428572,0.141974691974692,0.2354443309499489,0.2571428571428572,0.141974691974692,cp,1.0
6,0.5531914893617021,0.4580808080808081,0.4810744810744811,0.4595423686195625,0.2613636363636363,0.0507936507936507,0.2299769780685811,0.2613636363636363,-0.926829268292683,-0.5889465490399586,cp,1.0
7,0.6968085106382979,0.5703347578347578,0.5941675008341675,0.5707589372544444,-0.029025191675794,-0.4142857142857142,-0.2123939986953685,-0.029025191675794,-0.4142857142857142,-0.2123939986953685,cp,1.0
8,0.6914893617021277,0.6202486304256216,0.6024187452758881,0.6069092091813029,0.1090116279069767,0.0977443609022556,0.0409949001857878,0.1090116279069767,-0.1548064918851435,-0.0610521271818144,cp,1.0
9,0.6542553191489362,0.5994318181818182,0.6072435991940636,0.6017043772899381,-0.0058139534883721,-0.131578947368421,-0.0570830060225189,-0.0058139534883721,-0.131578947368421,-0.0570830060225189,cp,1.0
10,0.6542553191489362,0.5818109852636707,0.5712121212121212,0.5509975854619392,0.1834296724470134,0.3589743589743589,0.1899349406812093,0.1834296724470134,0.3589743589743589,0.1899349406812093,cp,1.0
1,0.7037037037037037,0.6234103572599147,0.6101339329494669,0.6148758648758649,0.132183908045977,0.5384615384615384,0.2062678062678062,0.132183908045977,0.5384615384615384,0.2062678062678062,cp,1.5
2,0.6243386243386243,0.5207756739738465,0.5265378125479369,0.5210361170495549,0.1091040462427745,0.1135135135135134,0.0901792166498048,0.1091040462427745,0.1135135135135134,0.0901792166498048,cp,1.5
3,0.6931216931216931,0.4377227292481529,0.5919428200129955,0.5013139276329088,0.0625386996904024,0.1515151515151515,0.0595949063102347,0.0625386996904024,0.1515151515151515,-0.1328225546975547,cp,1.5
4,0.656084656084656,0.5811985716503648,0.5715593929879644,0.5714664131725743,0.0185961236249345,-0.1088709677419355,-0.0544354838709677,0.0185961236249345,0.1264367816091953,-0.0544354838709677,cp,1.5
5,0.7248677248677249,0.6697401476577922,0.6551100628930818,0.6551996604303393,0.2410623084780388,0.2571428571428572,0.1454711954711955,0.2410623084780388,0.2571428571428572,0.1454711954711955,cp,1.5
6,0.6702127659574468,0.6481200744014021,0.626984126984127,0.6309665391148824,0.4734848484848484,0.3238095238095237,0.3237368229734642,0.4734848484848484,-0.4489795918367347,0.3237368229734642,cp,1.5
7,0.7021276595744681,0.5798368298368298,0.6178712045378713,0.5776214971915491,0.3012048192771084,0.4,0.2614155251141553,0.3012048192771084,0.4,0.2614155251141553,cp,1.5
8,0.6968085106382979,0.627062502062502,0.6098261526832955,0.6147890050329075,0.1148255813953488,0.0977443609022556,0.0447262434693699,0.1148255813953488,-0.1548064918851435,-0.1324806986103858,cp,1.5
9,0.4627659574468085,0.4245912579245912,0.3968008255933952,0.4054176217637756,0.3691860465116279,0.0921052631578947,0.279261586802828,0.3691860465116279,-0.4823529411764706,0.279261586802828,cp,1.5
10,0.6382978723404256,0.5311252055438103,0.5654545454545454,0.4804129759545134,-0.1348747591522158,-0.2974358974358975,-0.2203597397627248,-0.1348747591522158,-0.2974358974358975,-0.2203597397627248,cp,1.5
1,0.671957671957672,0.5894426736211725,0.562865128399109,0.5477751247216455,-0.0977011494252873,-0.2307692307692307,-0.145014245014245,-0.0977011494252873,-0.2307692307692307,-0.145014245014245,cp,2.0
2,0.671957671957672,0.5802675585284282,0.5885762496438981,0.5839105339105339,0.2120664739884393,-0.0486486486486487,0.102346798670328,0.2120664739884393,-0.3157894736842105,-0.1735642525116209,cp,2.0
3,0.6825396825396826,0.539176684881603,0.5790644785952823,0.5007863042944215,-0.1247678018575851,-0.2484848484848485,-0.1943675545865327,-0.1247678018575851,0.5,0.3088235294117647,cp,2.0
4,0.6666666666666666,0.5972729840916715,0.5826356183499041,0.5784138052150913,-0.0055002619172341,-0.1733870967741935,-0.0941009557945041,-0.0055002619172341,-0.1733870967741935,-0.0941009557945041,cp,2.0
5,0.6984126984126984,0.6340033122553447,0.62520964360587,0.625295757490571,0.2522982635342186,0.3142857142857143,0.174042624042624,0.2522982635342186,-0.4509803921568627,-0.2924193299366991,cp,2.0
6,0.6382978723404256,0.587297759019194,0.5836385836385837,0.5737987366775386,0.1609848484848485,-0.1714285714285714,0.0455834242093784,0.1609848484848485,-0.2857142857142857,0.0455834242093784,cp,2.0
7,0.6968085106382979,0.5703347578347578,0.5941675008341675,0.5707589372544444,-0.029025191675794,-0.4142857142857142,-0.2123939986953685,-0.029025191675794,-0.4142857142857142,-0.2123939986953685,cp,2.0
8,0.7021276595744681,0.6477220583415274,0.6212396069538927,0.6263858170967176,0.2354651162790697,0.3721804511278195,0.2006010050000623,0.2354651162790697,0.3721804511278195,0.2006010050000623,cp,2.0
9,0.6861702127659575,0.6440158838655079,0.6464592854685733,0.6450591595267238,0.0857558139534883,0.1447368421052631,0.0960002618486514,0.0857558139534883,0.1447368421052631,-0.0985979757756761,cp,2.0
10,0.6170212765957447,0.5565025252525252,0.5096969696969696,0.5147058823529412,0.1772639691714836,0.4153846153846154,0.2129161882893226,0.1772639691714836,0.4153846153846154,0.2129161882893226,cp,2.0
1,0.6825396825396826,0.6036036036036037,0.5924886871488813,0.5968000303973481,-0.0068965517241379,0.0871794871794872,-0.0156695156695156,-0.0068965517241379,0.1397849462365591,-0.05973715651135,cp,2.5
2,0.671957671957672,0.5833156966490299,0.5983535307051183,0.5867966842673026,-0.3121387283236994,-0.7567567567567568,-0.473966613672496,-0.3121387283236994,-0.7567567567567568,0.4977657819763083,cp,2.5
3,0.6878306878306878,0.683609977324263,0.5684565634586035,0.5859888907275247,0.2628482972136223,0.7575757575757576,0.4108525294656681,0.2628482972136223,0.7575757575757576,0.4108525294656681,cp,2.5
4,0.6455026455026455,0.5499999999999999,0.5330978545264259,0.5208596872148273,0.0086432687270822,-0.1935483870967742,-0.0560334528076463,0.0086432687270822,-0.6041666666666666,-0.3333054564377044,cp,2.5
5,0.7142857142857143,0.6716583124477861,0.6220911949685535,0.6268453768453769,0.3702757916241062,0.5428571428571429,0.3337828837828838,0.3702757916241062,-0.6274509803921569,-0.4121506870464721,cp,2.5
6,0.6276595744680851,0.6036619026013309,0.5781440781440782,0.5752013813081045,0.2803030303030303,0.0952380952380952,0.2132679025808797,0.2803030303030303,-0.5510204081632653,-0.2427018051315014,cp,2.5
7,0.7393617021276596,0.6285258289362257,0.6194728061394729,0.6226773811308993,0.4096385542168674,0.7,0.4525114155251141,0.4096385542168674,0.7,0.4525114155251141,cp,2.5
8,0.675531914893617,0.6072584541062803,0.580196523053666,0.57989802614973,0.2645348837209302,0.4774436090225564,0.2569639272310129,0.2645348837209302,0.4774436090225564,0.2569639272310129,cp,2.5
