fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,eta
1,0.6984126984126984,0.606668887778333,0.5964149119488925,0.5946837844395915,-0.1195402298850575,-0.2153846153846154,-0.1817663817663817,-0.1195402298850575,-0.2153846153846154,-0.1817663817663817,eo,1.0
2,0.6772486772486772,0.5777777777777778,0.5915273303676433,0.582820065109913,0.1264450867052023,-0.0756756756756756,0.0323493279375632,0.1264450867052023,-0.2894736842105263,-0.1071300044984255,eo,1.0
3,0.7354497354497355,0.6779999999999999,0.6478383728485727,0.6550992145503419,0.1393188854489163,0.3333333333333333,0.1731838720889816,0.1393188854489163,0.3333333333333333,0.1731838720889816,eo,1.0
4,0.6825396825396826,0.6273187741173166,0.612157683586255,0.6109902351253368,0.0935044525929806,0.0766129032258065,0.0383064516129032,0.0935044525929806,-0.1458333333333333,-0.1016856229556943,eo,1.0
5,0.708994708994709,0.6457088667614984,0.6301100628930817,0.6328382541566272,0.2691521961184882,0.3428571428571429,0.1953213453213453,0.2691521961184882,0.3428571428571429,0.1953213453213453,eo,1.0
6,0.6702127659574468,0.650078240197406,0.6221001221001221,0.6263888888888889,0.1401515151515151,0.0603174603174603,-0.0118260026656973,0.1401515151515151,0.238095238095238,0.1553555805524309,eo,1.0
7,0.6861702127659575,0.5504846144381028,0.5865131798465132,0.5512434933487564,0.0498357064622124,-0.2714285714285714,-0.1144814090019569,0.0498357064622124,-0.2714285714285714,-0.1144814090019569,eo,1.0
8,0.675531914893617,0.604086302713305,0.5842025699168557,0.5889016158530836,0.1206395348837209,0.1240601503759398,0.057884138206212,0.1206395348837209,-0.1435705368289638,-0.0735064388103511,eo,1.0
9,0.6702127659574468,0.6151975738114352,0.6191704752076269,0.6117004113898524,-0.0174418604651162,0.1184210526315789,0.0187876407436501,-0.0174418604651162,0.653061224489796,0.2533598805375809,eo,1.0
10,0.6648936170212766,0.6000395793887657,0.6033333333333334,0.600968994026372,0.3078998073217726,0.4102564102564102,0.2954267125908917,0.3078998073217726,0.4102564102564102,0.2954267125908917,eo,1.0
