fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,eta
1,0.5302013422818792,0.5623059294876874,0.5017060046471811,0.506446672236146,0.0675526024363233,0.1928571428571429,0.1089517625231911,0.0675526024363233,-0.6947368421052632,-0.3583051168838205,cp,1.0
2,0.3020134228187919,0.2203393541324576,0.2608064516129033,0.2301689106487148,0.0,0.0,0.0,0.0,0.322884012539185,0.2971034356725146,cp,1.0
3,0.610738255033557,0.585326688815061,0.586738397718434,0.5758097775452555,0.1311030741410488,0.3777777777777777,0.1969489981785063,0.1311030741410488,0.5555555555555556,0.3577777777777778,cp,1.0
4,0.2147651006711409,0.1910968760968761,0.2078962554921634,0.1945319566344874,0.0664499819429396,0.0,0.0400530503978779,0.0664499819429396,0.1330049261083744,0.1902449177825574,cp,1.0
5,0.3355704697986577,0.3052133024396892,0.3286810035842293,0.2877549612853717,0.0644067796610169,-0.2775919732441471,-0.0601133130334947,0.0644067796610169,0.334841628959276,-0.1358495670995671,cp,1.0
6,0.2885906040268456,0.1280952380952381,0.2529411764705882,0.1691309051568698,0.0,0.0,0.0,0.0,-0.5571428571428572,-0.2862637362637362,cp,1.0
7,0.5503355704697986,0.616981269321695,0.5518207282913166,0.5509665576096394,0.0535850495804729,0.1666666666666666,0.0625,0.0535850495804729,0.2063492063492063,-0.1237394957983193,cp,1.0
8,0.2818791946308724,0.1385572139303482,0.2209935897435897,0.1310036784025223,-0.0009018759018759,0.0,-0.0004887585532746,-0.0009018759018759,0.2,-0.1015619576535925,cp,1.0
9,0.5838926174496645,0.5698402151558297,0.5575993265993267,0.5481266767522184,0.0808956301914048,0.0666666666666666,0.0490783410138248,0.0808956301914048,0.1717171717171717,-0.0766369047619047,cp,1.0
10,0.1946308724832214,0.0802424242424242,0.189272030651341,0.1121417797888386,0.0,0.0,0.0,0.0,-0.2467532467532467,-0.07036935901121,cp,1.0
1,0.2953020134228188,0.1953246753246753,0.2695723195723196,0.2261604950842299,-0.0158730158730158,0.0,-0.010204081632653,-0.0158730158730158,0.3,0.0489254990533763,cp,1.5
2,0.2953020134228188,0.3119992752966755,0.2444674859190988,0.2132588438183847,0.0153208363374188,0.1,0.0421875,0.0153208363374188,0.2413793103448276,0.149859181596573,cp,1.5
3,0.5369127516778524,0.5158743430482561,0.5133545069570478,0.490685740804856,0.094755877034358,0.3111111111111111,0.1554189435336976,0.094755877034358,0.3111111111111111,0.1625396825396825,cp,1.5
4,0.610738255033557,0.6257909429280397,0.5998546352766302,0.6062873712356751,0.0958829902491874,0.3846153846153846,0.2046419098143236,0.0958829902491874,0.7647058823529411,0.359887853137612,cp,1.5
5,0.3892617449664429,0.3754009866102889,0.3896439665471923,0.3441120334912516,-0.0244821092278719,-0.3210702341137124,-0.1340912494384266,-0.0244821092278719,-0.3210702341137124,0.238744939271255,cp,1.5
6,0.6040268456375839,0.6034892570692583,0.6178058029808625,0.6012076370285325,0.042133815551537,-0.0404040404040404,-0.0213134400408643,0.042133815551537,0.5048076923076923,0.3689451995373047,cp,1.5
7,0.6711409395973155,0.6502894491129785,0.6638207282913166,0.6488181550250516,0.0486270022883295,-0.1623931623931623,-0.0793026418026418,0.0486270022883295,0.4603174603174603,0.2099122512854907,cp,1.5
8,0.1409395973154362,0.0933822218827184,0.1329899267399267,0.1096810067310506,0.0,0.0,0.0,0.0,-0.3692307692307692,-0.2887820512820512,cp,1.5
9,0.5234899328859061,0.5026638636180412,0.5033608635373341,0.4925842752311745,0.0783676417479234,0.2,0.099615975422427,0.0783676417479234,0.8095238095238095,0.3957200694042799,cp,1.5
10,0.5033557046979866,0.520699987249777,0.5271874201787995,0.5044376108219624,0.1455855855855855,-0.0555555555555554,0.0248538011695906,0.1455855855855855,0.3,0.130368906455863,cp,1.5
1,0.3221476510067114,0.1841719077568134,0.3073977823977824,0.2255148453528432,0.0,0.0,0.0,0.0,0.3128654970760234,0.2105771335647496,cp,2.0
2,0.2080536912751678,0.069701280227596,0.1697826086956521,0.0977526870046683,0.0,0.0,0.0,0.0,0.4482758620689655,0.3591756798333846,cp,2.0
3,0.261744966442953,0.1640976390556222,0.2212038717483363,0.1582489055659787,0.0,0.0,0.0,0.0,-0.3,-0.1685714285714285,cp,2.0
4,0.6510067114093959,0.6439396948990943,0.6416272105274663,0.6402936097439472,0.0586854460093896,0.3076923076923077,0.1507957559681697,0.0586854460093896,0.7647058823529411,0.3352976892031858,cp,2.0
5,0.3892617449664429,0.3609516214779372,0.3756057347670251,0.358267111192303,0.1421845574387947,-0.1036789297658862,0.0492312684071282,0.1421845574387947,0.2760180995475113,0.0492312684071282,cp,2.0
6,0.2147651006711409,0.168517313308302,0.2107416879795396,0.1686007736427904,0.0996383363471971,0.0,0.0652959155320922,0.0996383363471971,-0.3,-0.2246153846153846,cp,2.0
7,0.261744966442953,0.2286479274150507,0.2462521008403361,0.1887870168569071,-0.087719298245614,-0.2222222222222222,-0.1423611111111111,-0.087719298245614,-0.4117647058823529,-0.1423611111111111,cp,2.0
