fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,eta
1,0.4704,0.3154896359287802,0.271687468199096,0.2141126810573873,-0.0771638128326026,-0.0838289436420277,-0.0765580869607379,-0.0771638128326026,-0.0838289436420277,-0.0765580869607379,dp,1.0
2,0.4752,0.2050837666088966,0.2548920552677029,0.1934002659008218,0.0355224444624395,0.0634293242988895,0.0396342838988538,0.0355224444624395,0.0634293242988895,0.0396342838988538,dp,1.0
3,0.472,0.2348594087959625,0.2696102677809995,0.2170650576313143,0.1601731601731602,0.1136363636363636,0.1580578512396694,0.1601731601731602,-0.2595419847328244,-0.1886833790733608,dp,1.0
4,0.4528,0.3390421115065243,0.2723152230032964,0.2137563321309399,0.0533129175946548,0.0356258906472661,0.053115697617211,0.0533129175946548,-0.0931836407377706,-0.0733096566261952,dp,1.0
5,0.4608,0.2330345318094864,0.263353280141844,0.2105855765124842,0.0403535398625122,-0.0153846153846154,0.0332994577587826,0.0403535398625122,-0.0822381521306252,-0.052414622624017,dp,1.0
6,0.4496,0.2311624105683432,0.2660684334116068,0.2061114477604403,0.0802069167799909,0.1032863849765258,0.0891816540267245,0.0802069167799909,0.1032863849765258,-0.0891873921723539,dp,1.0
7,0.4775641025641026,0.2244138201293188,0.26875,0.2313238642524124,0.194002281740642,0.1835981203848735,0.1919688394793637,0.194002281740642,-0.208777270421106,-0.1993405582874761,dp,1.0
8,0.4567307692307692,0.2210069444444444,0.2545386904761905,0.1897875298455587,0.0942729715353455,0.0855855855855856,0.0946165009994797,0.0942729715353455,-0.099724308394334,0.0946165009994797,dp,1.0
9,0.4439102564102564,0.2137274549098196,0.262106390015492,0.2213601771567587,0.1256690454950937,0.2055172413793103,0.1396265679719361,0.1256690454950937,0.2055172413793103,0.1396265679719361,dp,1.0
10,0.4358974358974359,0.2070654355680449,0.2569951338199513,0.2048306852832611,0.109679728037216,0.1222192913039655,0.1140356541306332,0.109679728037216,-0.1456582633053221,-0.1190753778989073,dp,1.0
1,0.4512,0.2140696382269415,0.2615033222591362,0.2099291805174158,0.0811895111258168,0.0597564429340129,0.0797544153120718,0.0811895111258168,-0.1348325937878176,-0.0941947033563123,dp,1.5
2,0.488,0.2274623960944715,0.2643307426597582,0.2069860893563064,0.0546872891192269,0.0735930735930735,0.0596097755672223,0.0546872891192269,0.0735930735930735,0.0596097755672223,dp,1.5
3,0.4656,0.2363134057971014,0.2623145147535392,0.201087530355823,0.0584282792871749,0.0227272727272728,0.055817074209764,0.0584282792871749,-0.1332783164844233,-0.0830178540567335,dp,1.5
4,0.4416,0.3212140439932318,0.2633154508456294,0.1888491943245754,-0.0033660660052641,-0.0146253656341408,-0.0034227745601896,-0.0033660660052641,-0.0146253656341408,-0.0051906271007394,dp,1.5
5,0.4512,0.3619197679071628,0.2560711119554204,0.1862248089573051,-0.0449215843823468,-0.0377926421404681,-0.0420390230881509,-0.0449215843823468,0.0458365164247517,-0.0420390230881509,dp,1.5
6,0.4432,0.2315277777777777,0.263019959745052,0.2073127492366475,-0.0296642935231847,-0.0612757001780799,-0.0339455423967322,-0.0296642935231847,-0.0612757001780799,-0.0339455423967322,dp,1.5
7,0.4727564102564102,0.2204813425336638,0.265,0.226793545265852,0.0752431140327049,0.0157753412396508,0.0742077045756828,0.0752431140327049,-0.1374936580416032,-0.0920641367131093,dp,1.5
8,0.4743589743589743,0.2396596183599793,0.2677709899749373,0.2139613890848353,0.0647853898716567,0.0424710424710423,0.0656341317435541,0.0647853898716567,-0.0887917102386158,-0.0737865361228921,dp,1.5
