fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,ratio_bound_slack
1,0.27,0.2807732149463559,0.2428264245074589,0.2061721411048327,-0.1405539479123605,0.2303030303030303,0.01404257842614,-0.1405539479123605,-0.3585858585858585,0.1244943462334766,cp,1e-07
2,0.35,0.3540751020885953,0.3268222844693433,0.3219294205636907,0.0173404577074302,-0.0863636363636363,-0.06844297677631,0.0173404577074302,0.1568627450980391,0.0903113844290314,cp,1e-07
3,0.3,0.3243931835360406,0.3028508771929824,0.2834124527003784,0.0379436964504284,0.1999999999999999,0.0695080862533692,0.0379436964504284,0.3055555555555556,-0.1676587301587301,cp,1e-07
4,0.37,0.4312980252829876,0.3598021586736397,0.3332020403948185,0.0106095485937343,0.079734219269103,-0.0073551125876706,0.0106095485937343,-0.2982456140350877,-0.1056246385193753,cp,1e-07
5,0.3366834170854271,0.3436532826413981,0.3234848484848485,0.3208622786608286,0.0573454913880445,0.2307692307692307,0.1002331002331002,0.0573454913880445,-0.3399999999999999,-0.1406582246924081,cp,1e-07
6,0.3065326633165829,0.3466194985099045,0.2839935406947805,0.2699183447268507,-0.0482793522267206,0.6585365853658537,0.2506712624729934,-0.0482793522267206,0.6585365853658537,0.2506712624729934,cp,1e-07
7,0.3618090452261306,0.4032142857142857,0.3528298017771701,0.3443945327127802,0.116060606060606,0.019047619047619,0.0338827838827839,0.116060606060606,-0.1148459383753501,-0.1004931101762087,cp,1e-07
8,0.2814070351758794,0.2962011322011321,0.2632447588545149,0.2488162169628705,-0.3871717171717171,-0.0999999999999999,-0.316954253611557,-0.3871717171717171,0.4444444444444444,-0.316954253611557,cp,1e-07
9,0.236180904522613,0.5322276473171614,0.2430978170607815,0.1913458204875848,0.1758585858585858,0.5897435897435898,0.3751982553528945,0.1758585858585858,0.5897435897435898,0.3751982553528945,cp,1e-07
10,0.3366834170854271,0.3500435640309057,0.3357561663143059,0.3235263120092841,0.0462626262626262,0.2652329749103943,0.0942106903537479,0.0462626262626262,-0.335,0.135193485731361,cp,1e-07
1,0.27,0.2807732149463559,0.2428264245074589,0.2061721411048327,-0.1405539479123605,0.2303030303030303,0.01404257842614,-0.1405539479123605,-0.3585858585858585,0.1244943462334766,cp,1e-06
2,0.35,0.3540751020885953,0.3268222844693433,0.3219294205636907,0.0173404577074302,-0.0863636363636363,-0.06844297677631,0.0173404577074302,0.1568627450980391,0.0903113844290314,cp,1e-06
3,0.3,0.3243931835360406,0.3028508771929824,0.2834124527003784,0.0379436964504284,0.1999999999999999,0.0695080862533692,0.0379436964504284,0.3055555555555556,-0.1676587301587301,cp,1e-06
4,0.37,0.4312980252829876,0.3598021586736397,0.3332020403948185,0.0106095485937343,0.079734219269103,-0.0073551125876706,0.0106095485937343,-0.2982456140350877,-0.1056246385193753,cp,1e-06
5,0.3366834170854271,0.3436532826413981,0.3234848484848485,0.3208622786608286,0.0573454913880445,0.2307692307692307,0.1002331002331002,0.0573454913880445,-0.3399999999999999,-0.1406582246924081,cp,1e-06
6,0.3065326633165829,0.3466194985099045,0.2839935406947805,0.2699183447268507,-0.0482793522267206,0.6585365853658537,0.2506712624729934,-0.0482793522267206,0.6585365853658537,0.2506712624729934,cp,1e-06
7,0.3618090452261306,0.4032142857142857,0.3528298017771701,0.3443945327127802,0.116060606060606,0.019047619047619,0.0338827838827839,0.116060606060606,-0.1148459383753501,-0.1004931101762087,cp,1e-06
8,0.2814070351758794,0.2962011322011321,0.2632447588545149,0.2488162169628705,-0.3871717171717171,-0.0999999999999999,-0.316954253611557,-0.3871717171717171,0.4444444444444444,-0.316954253611557,cp,1e-06
9,0.236180904522613,0.5322276473171614,0.2430978170607815,0.1913458204875848,0.1758585858585858,0.5897435897435898,0.3751982553528945,0.1758585858585858,0.5897435897435898,0.3751982553528945,cp,1e-06
10,0.3366834170854271,0.3500435640309057,0.3357561663143059,0.3235263120092841,0.0462626262626262,0.2652329749103943,0.0942106903537479,0.0462626262626262,-0.335,0.135193485731361,cp,1e-06
1,0.27,0.2807732149463559,0.2428264245074589,0.2061721411048327,-0.1405539479123605,0.2303030303030303,0.01404257842614,-0.1405539479123605,-0.3585858585858585,0.1244943462334766,cp,1e-05
2,0.35,0.3540751020885953,0.3268222844693433,0.3219294205636907,0.0173404577074302,-0.0863636363636363,-0.06844297677631,0.0173404577074302,0.1568627450980391,0.0903113844290314,cp,1e-05
3,0.3,0.3243931835360406,0.3028508771929824,0.2834124527003784,0.0379436964504284,0.1999999999999999,0.0695080862533692,0.0379436964504284,0.3055555555555556,-0.1676587301587301,cp,1e-05
