fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,ratio_bound_slack
1,0.49,0.411937214307904,0.4253242941820527,0.4087516716331832,0.4892517569243488,0.3171717171717171,0.3249263673921208,0.4892517569243488,-0.71875,-0.4416758849557522,dp,1e-07
2,0.485,0.4637221964782205,0.4528851540616246,0.4367628658437812,0.358201431595927,0.0409090909090908,0.1463804713804714,0.358201431595927,0.15359477124183,-0.165992448759439,dp,1e-07
3,0.445,0.4220046082949308,0.4470394736842105,0.398446019371604,0.3565891472868218,0.275,0.2321765498652291,0.3565891472868218,-0.7777777777777778,-0.5450244200244201,dp,1e-07
4,0.565,0.5425402399765876,0.5393161232891955,0.5344370309486589,0.3301971774597138,-0.0664451827242524,0.0528885197489848,0.3301971774597138,-0.4157894736842105,-0.2960130350088296,dp,1e-07
5,0.4673366834170854,0.4328919860627177,0.4425757575757575,0.4292659997133869,0.3177304964539007,0.4615384615384615,0.2989510489510489,0.3177304964539007,-0.7837837837837838,-0.427522204787533,dp,1e-07
6,0.4623115577889447,0.4002077632512416,0.4259293012311406,0.403061815730472,0.4130566801619433,0.3292682926829268,0.2775373721479149,0.4130566801619433,0.3292682926829268,0.2775373721479149,dp,1e-07
7,0.4673366834170854,0.4554626623376624,0.471967418546366,0.4452755755801312,0.3585858585858585,0.3841269841269842,0.2980463980463981,0.3585858585858585,-0.6209677419354839,-0.3610353415559772,dp,1e-07
8,0.4874371859296482,0.4533172254102487,0.4646989054306127,0.4512871188969476,0.3485858585858585,0.15,0.1729133226324237,0.3485858585858585,0.3888888888888889,-0.2891847143150228,dp,1e-07
9,0.4422110552763819,0.4008048968575284,0.4187107679175432,0.4040270486015167,0.3546464646464646,0.7948717948717948,0.4657348665080624,0.3546464646464646,0.7948717948717948,0.4657348665080624,dp,1e-07
10,0.4673366834170854,0.4418731613214371,0.4705574348132487,0.4309696969696969,0.4788888888888888,0.4121863799283154,0.3829047841670562,0.4788888888888888,-0.5,0.3829047841670562,dp,1e-07
1,0.49,0.4128515298773919,0.4253242941820527,0.4085684713442232,0.4977263331955353,0.3171717171717171,0.3328628753286287,0.4977263331955353,-0.71875,-0.4416758849557522,dp,1e-06
2,0.485,0.4637221964782205,0.4528851540616246,0.4367628658437812,0.358201431595927,0.0409090909090908,0.1463804713804714,0.358201431595927,0.15359477124183,-0.165992448759439,dp,1e-06
3,0.445,0.4220046082949308,0.4470394736842105,0.398446019371604,0.3565891472868218,0.275,0.2321765498652291,0.3565891472868218,-0.7777777777777778,-0.5450244200244201,dp,1e-06
4,0.565,0.5425402399765876,0.5393161232891955,0.5344370309486589,0.3301971774597138,-0.0664451827242524,0.0528885197489848,0.3301971774597138,-0.4157894736842105,-0.2960130350088296,dp,1e-06
5,0.4673366834170854,0.4328919860627177,0.4425757575757575,0.4292659997133869,0.3177304964539007,0.4615384615384615,0.2989510489510489,0.3177304964539007,-0.7837837837837838,-0.427522204787533,dp,1e-06
6,0.507537688442211,0.457059620596206,0.4706575694785727,0.4546140616021599,0.4647773279352226,0.8536585365853658,0.5558615263571991,0.4647773279352226,0.8536585365853658,0.5558615263571991,dp,1e-06
7,0.4673366834170854,0.4554626623376624,0.471967418546366,0.4452755755801312,0.3585858585858585,0.3841269841269842,0.2980463980463981,0.3585858585858585,-0.6209677419354839,-0.3610353415559772,dp,1e-06
8,0.5025125628140703,0.4744609247135843,0.4821866751135044,0.4531552873839417,0.3384848484848485,0.15,0.1672953451043338,0.3384848484848485,0.3888888888888889,0.22387834989461,dp,1e-06
9,0.4422110552763819,0.4008048968575284,0.4187107679175432,0.4040270486015167,0.3546464646464646,0.7948717948717948,0.4657348665080624,0.3546464646464646,0.7948717948717948,0.4657348665080624,dp,1e-06
10,0.4673366834170854,0.4418731613214371,0.4705574348132487,0.4309696969696969,0.4788888888888888,0.4121863799283154,0.3829047841670562,0.4788888888888888,-0.5,0.3829047841670562,dp,1e-06
1,0.49,0.411937214307904,0.4253242941820527,0.4087516716331832,0.4892517569243488,0.3171717171717171,0.3249263673921208,0.4892517569243488,-0.71875,-0.4416758849557522,dp,1e-05
2,0.485,0.4637221964782205,0.4528851540616246,0.4367628658437812,0.358201431595927,0.0409090909090908,0.1463804713804714,0.358201431595927,0.15359477124183,-0.165992448759439,dp,1e-05
3,0.445,0.4220046082949308,0.4470394736842105,0.398446019371604,0.3565891472868218,0.275,0.2321765498652291,0.3565891472868218,-0.7777777777777778,-0.5450244200244201,dp,1e-05
4,0.565,0.5425402399765876,0.5393161232891955,0.5344370309486589,0.3301971774597138,-0.0664451827242524,0.0528885197489848,0.3301971774597138,-0.4157894736842105,-0.2960130350088296,dp,1e-05
5,0.4673366834170854,0.4328919860627177,0.4425757575757575,0.4292659997133869,0.3177304964539007,0.4615384615384615,0.2989510489510489,0.3177304964539007,-0.7837837837837838,-0.427522204787533,dp,1e-05
6,0.4673366834170854,0.4245007468547946,0.43411808594938,0.4196895307368095,0.4341093117408907,0.8292682926829268,0.5329137162339365,0.4341093117408907,0.8292682926829268,0.5329137162339365,dp,1e-05
7,0.4673366834170854,0.4554626623376624,0.471967418546366,0.4452755755801312,0.3585858585858585,0.3841269841269842,0.2980463980463981,0.3585858585858585,-0.6209677419354839,-0.3610353415559772,dp,1e-05
8,0.4874371859296482,0.4533172254102487,0.4646989054306127,0.4512871188969476,0.3485858585858585,0.15,0.1729133226324237,0.3485858585858585,0.3888888888888889,-0.2891847143150228,dp,1e-05
9,0.4422110552763819,0.4008048968575284,0.4187107679175432,0.4040270486015167,0.3546464646464646,0.7948717948717948,0.4657348665080624,0.3546464646464646,0.7948717948717948,0.4657348665080624,dp,1e-05
