fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,ratio_bound_slack
1,0.7195767195767195,0.6479597998619738,0.6285216940556747,0.634413376465862,-0.0241379310344827,0.0358974358974358,-0.045014245014245,-0.0241379310344827,0.0967741935483871,-0.081242532855436,dp,1e-07
2,0.6613756613756614,0.5768129474011827,0.5824805148321025,0.5792924127988524,0.1495664739884393,-0.0216216216216216,0.0667292961410608,0.1495664739884393,-0.3421052631578947,-0.1519643124906282,dp,1e-07
3,0.7248677248677249,0.6642206679419735,0.6349600314308597,0.6447570947570948,0.0340557275541795,-0.0666666666666666,-0.0268161279110184,0.0340557275541795,0.1585365853658536,-0.0870736808236808,dp,1e-07
4,0.6507936507936508,0.5684523809523809,0.5587388801674517,0.5602617815383772,-0.0128339444735463,-0.1693548387096774,-0.0846774193548387,-0.0128339444735463,-0.1693548387096774,-0.0846774193548387,dp,1e-07
5,0.708994708994709,0.6535677199228601,0.6446933962264151,0.6447491663856731,0.2466802860061286,0.2571428571428572,0.148967698967699,0.2466802860061286,0.2571428571428572,0.148967698967699,dp,1e-07
6,0.6648936170212766,0.6435087719298246,0.6205738705738706,0.6249786871270248,-0.0378787878787879,-0.2698412698412699,-0.1769053677450624,-0.0378787878787879,-0.2698412698412699,0.1849590229792704,dp,1e-07
7,0.6968085106382979,0.5694953194953195,0.5884884884884886,0.5716988549805887,0.0920043811610076,-0.1714285714285714,-0.047358121330724,0.0920043811610076,-0.1714285714285714,-0.0791634932724041,dp,1e-07
8,0.6914893617021277,0.6208684231506775,0.6024187452758881,0.6075064330840876,0.0523255813953488,-0.0451127819548872,-0.0267023279592014,0.0523255813953488,-0.1548064918851435,-0.0610521271818144,dp,1e-07
9,0.6436170212765957,0.5937134502923976,0.5974249348862352,0.5952140888620018,-0.125,-0.0789473684210526,-0.1178318931657502,-0.125,0.5918367346938775,0.2697859631657541,dp,1e-07
10,0.6542553191489362,0.5929050454194305,0.5924242424242424,0.5923167857695518,0.0412331406551059,0.0615384615384615,0.0136050516647531,0.0412331406551059,0.2127659574468084,0.0606727114941496,dp,1e-07
1,0.7195767195767195,0.6479597998619738,0.6285216940556747,0.634413376465862,-0.0241379310344827,0.0358974358974358,-0.045014245014245,-0.0241379310344827,0.0967741935483871,-0.081242532855436,dp,1e-07
2,0.6613756613756614,0.5768129474011827,0.5824805148321025,0.5792924127988524,0.1495664739884393,-0.0216216216216216,0.0667292961410608,0.1495664739884393,-0.3421052631578947,-0.1519643124906282,dp,1e-07
3,0.7248677248677249,0.6642206679419735,0.6349600314308597,0.6447570947570948,0.0340557275541795,-0.0666666666666666,-0.0268161279110184,0.0340557275541795,0.1585365853658536,-0.0870736808236808,dp,1e-07
