fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,ratio_bound_slack
1,0.3221476510067114,0.1841719077568134,0.3073977823977824,0.2255148453528432,0.0,0.0,0.0,0.0,0.3128654970760234,0.2105771335647496,cp,1e-07
2,0.2080536912751678,0.069701280227596,0.1697826086956521,0.0977526870046683,0.0,0.0,0.0,0.0,0.4482758620689655,0.3591756798333846,cp,1e-07
3,0.261744966442953,0.1640976390556222,0.2212038717483363,0.1582489055659787,0.0,0.0,0.0,0.0,-0.3,-0.1685714285714285,cp,1e-07
4,0.6510067114093959,0.6439396948990943,0.6416272105274663,0.6402936097439472,0.0586854460093896,0.3076923076923077,0.1507957559681697,0.0586854460093896,0.7647058823529411,0.3352976892031858,cp,1e-07
5,0.3892617449664429,0.3609516214779372,0.3756057347670251,0.358267111192303,0.1421845574387947,-0.1036789297658862,0.0492312684071282,0.1421845574387947,0.2760180995475113,0.0492312684071282,cp,1e-07
6,0.2147651006711409,0.168517313308302,0.2107416879795396,0.1686007736427904,0.0996383363471971,0.0,0.0652959155320922,0.0996383363471971,-0.3,-0.2246153846153846,cp,1e-07
7,0.261744966442953,0.2286479274150507,0.2462521008403361,0.1887870168569071,-0.087719298245614,-0.2222222222222222,-0.1423611111111111,-0.087719298245614,-0.4117647058823529,-0.1423611111111111,cp,1e-07
8,0.3691275167785235,0.1566464646464646,0.3642857142857142,0.2156586416128401,0.0,0.0,0.0,0.0,-0.0974358974358974,-0.2358067645074223,cp,1e-07
9,0.2885906040268456,0.1201960784313725,0.187834422657952,0.141963538370455,0.0,0.0,0.0,0.0,0.1333333333333333,0.1791979949874686,cp,1e-07
10,0.4026845637583892,0.4675748779522364,0.426375478927203,0.3861183368429745,0.1063063063063063,0.1666666666666666,0.1096491228070175,0.1063063063063063,0.291497975708502,-0.2295745903995401,cp,1e-07
1,0.3221476510067114,0.1841719077568134,0.3073977823977824,0.2255148453528432,0.0,0.0,0.0,0.0,0.3128654970760234,0.2105771335647496,cp,1e-07
2,0.2080536912751678,0.069701280227596,0.1697826086956521,0.0977526870046683,0.0,0.0,0.0,0.0,0.4482758620689655,0.3591756798333846,cp,1e-07
3,0.261744966442953,0.1640976390556222,0.2212038717483363,0.1582489055659787,0.0,0.0,0.0,0.0,-0.3,-0.1685714285714285,cp,1e-07
4,0.6510067114093959,0.6439396948990943,0.6416272105274663,0.6402936097439472,0.0586854460093896,0.3076923076923077,0.1507957559681697,0.0586854460093896,0.7647058823529411,0.3352976892031858,cp,1e-07
5,0.3892617449664429,0.3609516214779372,0.3756057347670251,0.358267111192303,0.1421845574387947,-0.1036789297658862,0.0492312684071282,0.1421845574387947,0.2760180995475113,0.0492312684071282,cp,1e-07
6,0.2147651006711409,0.168517313308302,0.2107416879795396,0.1686007736427904,0.0996383363471971,0.0,0.0652959155320922,0.0996383363471971,-0.3,-0.2246153846153846,cp,1e-07
7,0.261744966442953,0.2286479274150507,0.2462521008403361,0.1887870168569071,-0.087719298245614,-0.2222222222222222,-0.1423611111111111,-0.087719298245614,-0.4117647058823529,-0.1423611111111111,cp,1e-07
8,0.3691275167785235,0.1566464646464646,0.3642857142857142,0.2156586416128401,0.0,0.0,0.0,0.0,-0.0974358974358974,-0.2358067645074223,cp,1e-07
9,0.2885906040268456,0.1201960784313725,0.187834422657952,0.141963538370455,0.0,0.0,0.0,0.0,0.1333333333333333,0.1791979949874686,cp,1e-07
10,0.4026845637583892,0.4675748779522364,0.426375478927203,0.3861183368429745,0.1063063063063063,0.1666666666666666,0.1096491228070175,0.1063063063063063,0.291497975708502,-0.2295745903995401,cp,1e-07
1,0.3221476510067114,0.1841719077568134,0.3073977823977824,0.2255148453528432,0.0,0.0,0.0,0.0,0.3128654970760234,0.2105771335647496,cp,1e-06
2,0.2080536912751678,0.069701280227596,0.1697826086956521,0.0977526870046683,0.0,0.0,0.0,0.0,0.4482758620689655,0.3591756798333846,cp,1e-06
3,0.261744966442953,0.1640976390556222,0.2212038717483363,0.1582489055659787,0.0,0.0,0.0,0.0,-0.3,-0.1685714285714285,cp,1e-06
4,0.6510067114093959,0.6439396948990943,0.6416272105274663,0.6402936097439472,0.0586854460093896,0.3076923076923077,0.1507957559681697,0.0586854460093896,0.7647058823529411,0.3352976892031858,cp,1e-06
5,0.3892617449664429,0.3609516214779372,0.3756057347670251,0.358267111192303,0.1421845574387947,-0.1036789297658862,0.0492312684071282,0.1421845574387947,0.2760180995475113,0.0492312684071282,cp,1e-06
6,0.2147651006711409,0.168517313308302,0.2107416879795396,0.1686007736427904,0.0996383363471971,0.0,0.0652959155320922,0.0996383363471971,-0.3,-0.2246153846153846,cp,1e-06
7,0.261744966442953,0.2286479274150507,0.2462521008403361,0.1887870168569071,-0.087719298245614,-0.2222222222222222,-0.1423611111111111,-0.087719298245614,-0.4117647058823529,-0.1423611111111111,cp,1e-06
8,0.3691275167785235,0.1566464646464646,0.3642857142857142,0.2156586416128401,0.0,0.0,0.0,0.0,-0.0974358974358974,-0.2358067645074223,cp,1e-06
9,0.2885906040268456,0.1201960784313725,0.187834422657952,0.141963538370455,0.0,0.0,0.0,0.0,0.1333333333333333,0.1791979949874686,cp,1e-06
10,0.4026845637583892,0.4675748779522364,0.426375478927203,0.3861183368429745,0.1063063063063063,0.1666666666666666,0.1096491228070175,0.1063063063063063,0.291497975708502,-0.2295745903995401,cp,1e-06
1,0.3221476510067114,0.1841719077568134,0.3073977823977824,0.2255148453528432,0.0,0.0,0.0,0.0,0.3128654970760234,0.2105771335647496,cp,1e-05
2,0.2080536912751678,0.069701280227596,0.1697826086956521,0.0977526870046683,0.0,0.0,0.0,0.0,0.4482758620689655,0.3591756798333846,cp,1e-05
3,0.261744966442953,0.1640976390556222,0.2212038717483363,0.1582489055659787,0.0,0.0,0.0,0.0,-0.3,-0.1685714285714285,cp,1e-05
4,0.6510067114093959,0.6439396948990943,0.6416272105274663,0.6402936097439472,0.0586854460093896,0.3076923076923077,0.1507957559681697,0.0586854460093896,0.7647058823529411,0.3352976892031858,cp,1e-05
