fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,ratio_bound_slack
1,0.4948979591836734,0.3328912466843501,0.415066291683407,0.3642714570858283,-0.1364522417153996,-0.3363329583802025,-0.1845647051471507,-0.1364522417153996,-0.3363329583802025,-0.1845647051471507,dp,1e-07
2,0.5204081632653061,0.3526262903078469,0.4474099099099098,0.3881898427352973,-0.2913290272068898,-0.4496151996151996,-0.3001569902328154,-0.2913290272068898,-0.4496151996151996,-0.3001569902328154,dp,1e-07
3,0.4710884353741497,0.3070887264435651,0.4093799440184982,0.3488483678388726,-0.1659621000973501,-0.3457854406130268,-0.2114275246560649,-0.1659621000973501,-0.3457854406130268,-0.2114275246560649,dp,1e-07
4,0.4727891156462585,0.4207050714010234,0.3986928104575163,0.3870006691687759,-0.184471975142358,-0.1740111294931569,-0.173736375792458,-0.184471975142358,-0.1740111294931569,-0.173736375792458,dp,1e-07
5,0.467687074829932,0.4302469135802469,0.4130299168621933,0.3563040184610077,-0.2785672342924251,-0.3790804597701149,-0.2856744055769949,-0.2785672342924251,-0.3790804597701149,-0.2856744055769949,dp,1e-07
6,0.4974446337308347,0.3298114449616777,0.435458857872651,0.3691237644986733,-0.2571564238230905,-0.5348563006632276,-0.3258385792634893,-0.2571564238230905,-0.5348563006632276,-0.3258385792634893,dp,1e-07
7,0.4889267461669506,0.3175079803062273,0.4050014088475627,0.3541888180046075,-0.2190819081908191,-0.3791496796738497,-0.2516412682581987,-0.2190819081908191,-0.3791496796738497,-0.2516412682581987,dp,1e-07
8,0.4974446337308347,0.4085137938479156,0.4286501552519859,0.3809350603162286,-0.1610523346029059,-0.3233923578751165,-0.1560033494801939,-0.1610523346029059,-0.3233923578751165,-0.1560033494801939,dp,1e-07
9,0.4940374787052811,0.3271853843090402,0.4090883633665168,0.3550492138931306,-0.2843933875035024,-0.4737812911725956,-0.3070482136270426,-0.2843933875035024,-0.4737812911725956,-0.3070482136270426,dp,1e-07
10,0.454855195911414,0.2958903465462923,0.3890537936780711,0.3312919419669812,-0.239095078120834,-0.4345130066545674,-0.2936058680940951,-0.239095078120834,-0.4345130066545674,-0.2936058680940951,dp,1e-07
1,0.4948979591836734,0.3328912466843501,0.415066291683407,0.3642714570858283,-0.1364522417153996,-0.3363329583802025,-0.1845647051471507,-0.1364522417153996,-0.3363329583802025,-0.1845647051471507,dp,1e-06
2,0.5136054421768708,0.5029977746738082,0.4449962079426365,0.4067183588411209,-0.3345077314542963,-0.482924482924483,-0.3406445191904603,-0.3345077314542963,-0.482924482924483,-0.3406445191904603,dp,1e-06
3,0.4710884353741497,0.3070887264435651,0.4093799440184982,0.3488483678388726,-0.1659621000973501,-0.3457854406130268,-0.2114275246560649,-0.1659621000973501,-0.3457854406130268,-0.2114275246560649,dp,1e-06
4,0.4727891156462585,0.4202564049167671,0.3986928104575163,0.3868538748465583,-0.1898195687252457,-0.1740111294931569,-0.1777046297607119,-0.1898195687252457,-0.1740111294931569,-0.1777046297607119,dp,1e-06
5,0.4727891156462585,0.3259143337390598,0.4141822797224987,0.3531435712145114,-0.2092777451556077,-0.2771264367816091,-0.2085842773559068,-0.2092777451556077,0.2789170787063305,0.2164125791658116,dp,1e-06
6,0.4974446337308347,0.3298114449616777,0.435458857872651,0.3691237644986733,-0.2571564238230905,-0.5348563006632276,-0.3258385792634893,-0.2571564238230905,-0.5348563006632276,-0.3258385792634893,dp,1e-06
