fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,ratio_bound_slack
1,0.477891156462585,0.4485021127094906,0.3974692568871663,0.3524192277383767,0.2077415761626287,0.1629796275465567,0.1983490574707573,0.2077415761626287,-0.1965778474399163,-0.2153406288904752,eo,1e-07
2,0.4914965986394558,0.4925104580693363,0.4267981150793651,0.4002952652114309,0.130867097279311,0.0622895622895622,0.1333600651174246,0.130867097279311,-0.1771084337349397,-0.1909037029173964,eo,1e-07
3,0.4880952380952381,0.3161114693029587,0.4167883655835462,0.3546953858963252,0.097816954938856,-0.0130906768837803,0.0722968977144185,0.097816954938856,-0.0625,-0.0904419191919191,eo,1e-07
4,0.4829931972789115,0.4415860814022578,0.4148839450310038,0.4139887070316961,-0.1120994305679651,-0.1012182283050082,-0.1016256394840979,-0.1120994305679651,-0.1188725490196078,0.1327006161062404,eo,1e-07
5,0.4608843537414966,0.3154870765695049,0.3982879725383295,0.3334975774000164,0.1951458211000195,0.2129885057471264,0.2131278268807834,0.1951458211000195,0.2129885057471264,0.2131278268807834,eo,1e-07
6,0.4821124361158432,0.4689363975226772,0.4363155723725438,0.4199027306004492,0.1311490978157644,0.0193072955047899,0.106317510942751,0.1311490978157644,0.217391304347826,-0.2547204968944099,eo,1e-07
7,0.4957410562180579,0.3133847742876238,0.3956889264581573,0.343540502793296,0.0902918863314902,-0.0160163075131042,0.0700347304141437,0.0902918863314902,-0.0659340659340659,-0.0877699886320576,eo,1e-07
8,0.4770017035775127,0.3133069011400007,0.4051660772484571,0.34815334115908,0.1928339681196219,0.1621621621621621,0.2145078529526204,0.1928339681196219,-0.1695975344452501,0.2145078529526204,eo,1e-07
9,0.4855195911413969,0.3181429681429681,0.3942957953543075,0.3378807271667759,-0.0684365368450546,-0.2237154150197629,-0.0863762496076054,-0.0684365368450546,-0.2237154150197629,-0.0863762496076054,eo,1e-07
10,0.4514480408858603,0.4085078248027788,0.3839836373492909,0.3415800668160095,0.0813869780835066,-0.0669993950393224,0.0399904435533569,0.0813869780835066,-0.1103979460847239,-0.1156428074052079,eo,1e-07
1,0.477891156462585,0.4485021127094906,0.3974692568871663,0.3524192277383767,0.2077415761626287,0.1629796275465567,0.1983490574707573,0.2077415761626287,-0.1965778474399163,-0.2153406288904752,eo,1e-07
