fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.5,0.45519225872167046,0.4532729618936515,0.45161199806620267,0.510541546093427,0.7434343434343433,0.5019628773053431
2,0.44,0.4179066334068925,0.4163772175536882,0.40480184689260323,0.4094162718015929,0.2727272727272727,0.2854614521281188
3,0.505,0.4730512815672059,0.5024621212121212,0.4819261060224916,0.4065687474500204,0.65,0.4216981132075472
4,0.58,0.5503633552153275,0.5435179704016914,0.5379163750480125,0.4320888799919928,0.5980066445182725,0.3906699889258029
5,0.49246231155778897,0.48520979020979016,0.47025252525252526,0.46647117794486215,0.40283687943262414,0.6282051282051282,0.4220571095571095
6,0.5226130653266332,0.4839590955999625,0.4899137286018414,0.48539315442662884,0.40981781376518217,0.7804878048780488,0.4877861451425574
7,0.4371859296482412,0.43150462765751463,0.4395397584871269,0.4328230975152049,0.3994949494949495,0.6349206349206349,0.41617826617826614
8,0.5025125628140703,0.49878609572727217,0.48537993172139515,0.4823399922934807,0.358989898989899,0.08181818181818179,0.1612943236538742
9,0.5125628140703518,0.49111480624638515,0.4890364445748029,0.4841790961032476,0.3845454545454545,0.48717948717948717,0.3209952418715305
10,0.4271356783919598,0.3926932818420511,0.4312219873150106,0.4056254394191341,0.4593939393939394,0.45878136200716846,0.39219261337073397
