fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.5396825396825397,0.4992958066421335,0.5083673069109963,0.4923914506029085,0.03793103448275864,-0.4666666666666666,-0.12037037037037035
2,0.4973544973544973,0.5155352921310369,0.4993717996479156,0.46502729182985814,0.2077312138728324,0.3513513513513513,0.231491183697066
3,0.5502645502645502,0.505175983436853,0.5134261148133037,0.4888754332850687,0.0037151702786377694,-0.036363636363636376,-0.024959711821025715
4,0.455026455026455,0.45710730244923353,0.4427001569858713,0.4232172237999085,0.24253535882661081,0.2661290322580645,0.23676821983273594
5,0.4973544973544973,0.47863247863247865,0.4650943396226415,0.4509422044425729,0.04443309499489273,0.08571428571428574,0.01721611721611721
6,0.4734042553191489,0.48572737686139744,0.46306471306471303,0.4429189304357089,-0.017045454545454586,0.06984126984126982,-0.1017205864534109
7,0.5425531914893617,0.4820353559483994,0.5111111111111111,0.4544519849214219,0.04162102957283681,-0.32142857142857145,-0.11824853228962817
8,0.46808510638297873,0.41762866762866757,0.42350718065003773,0.4084145670535418,-0.1453488372093023,-0.4360902255639098,-0.22302023716006436
9,0.4787234042553192,0.3520394622445524,0.3633200648680525,0.33479920678599817,-0.020348837209302334,0.34210526315789475,0.10015710919088767
10,0.5106382978723404,0.46538461538461534,0.4727272727272727,0.4508442869098606,0.05626204238921001,-0.015384615384615441,0.016934557979334075
