fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.9769946157611356,0.9782725640878843,0.9774211755047589,0.9777759772482715,0.15081774870226836,0.10111046171829341,0.048845002062151345,0.15081774870226836,0.10111046171829341,0.048845002062151345,rf
2,0.9716103768967205,0.9732883880840465,0.9726329867536543,0.9727936403034586,0.16990751184299568,0.12153159937438451,0.06335056116331134,0.16990751184299568,0.12153159937438451,0.06335056116331134,rf
3,0.9760156632403328,0.9772419324876503,0.9775938933025742,0.9773643209956049,0.18351286284720958,0.1267443201476185,0.06442528951855993,0.18351286284720958,0.1267443201476185,0.06442528951855993,rf
4,0.9672050905531082,0.9684018435203537,0.9688588860967787,0.9685620201636896,0.16281733155182285,0.1909750866193698,0.09820507312923837,0.16281733155182285,0.1909750866193698,0.09820507312923837,rf
5,0.9765051395007343,0.9777115170464685,0.977306300874284,0.9774245083770524,0.10894961189806976,0.10786699107866982,0.056052064485900874,0.10894961189806976,0.10786699107866982,0.056052064485900874,rf
6,0.9667156142927068,0.9697698867903085,0.9679841036076594,0.9686613847374687,0.18530820764250158,0.17730875411879954,0.09278122630577093,0.18530820764250158,0.17730875411879954,0.09278122630577093,rf
7,0.9647577092511013,0.9667338053312827,0.9663581286731571,0.9663045185126665,0.17973500509605583,0.1905435613027362,0.09841533253640392,0.17973500509605583,0.1905435613027362,0.09841533253640392,rf
8,0.9755142017629774,0.9770785463985857,0.9764708147187663,0.9766376188562292,0.1785879227182354,0.183160394404006,0.09556955890413066,0.1785879227182354,0.183160394404006,0.09556955890413066,rf
9,0.9720861900097943,0.9729540185820085,0.9738972818446987,0.9732812250516386,0.15287530011980074,0.14313795145056252,0.07209751695149691,0.15287530011980074,0.14313795145056252,0.07209751695149691,rf
10,0.9657198824681684,0.9690010746910609,0.9658100017815238,0.9671388039189609,0.14335715615787334,0.17255877034358047,0.08936960248079304,0.14335715615787334,0.17255877034358047,0.08936960248079304,rf
