fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.7104,0.7140230803053662,0.5454417883961948,0.5724200927770227,-0.1599112140513414,-0.1103086944208439,-0.14323358314958007,-0.1599112140513414,0.18323920935861226,0.1612256685204506,rf
2,0.7248,0.8105898948070809,0.566126357729395,0.6069193043957883,-0.09941425756471511,-0.09636740071522687,-0.07182436229614772,-0.09941425756471511,-0.17647058823529413,-0.08823529411764706,rf
3,0.7104,0.8036379031187264,0.5486674120820463,0.5795721822618748,-0.14089182800839245,-0.06818181818181823,-0.1004409133509415,-0.14089182800839245,-0.15,0.13392005210418123,rf
4,0.7168,0.830539031124498,0.5737182301040341,0.6231254063590936,-0.08297479246811096,-0.033075826895672455,-0.048923234548753664,-0.08297479246811096,-0.25,-0.125,rf
5,0.7008,0.794248834692683,0.5319680851063829,0.5571935392465578,-0.1579174478469184,-0.12692307692307692,-0.11644316908320167,-0.1579174478469184,0.14496216646754279,0.13175233829450012,rf
6,0.7184,0.7365189381956228,0.563963016259262,0.5913723237266306,-0.055702210489827486,0.02630726890076085,0.0005767113734573559,-0.055702210489827486,-0.25,-0.12610864745011086,rf
7,0.7115384615384616,0.6762779290119804,0.5215973185390661,0.5415842277008782,-0.12617482479491504,-0.10930857014992168,-0.15206515094932416,-0.12617482479491504,0.21765601217656005,0.17745781378058773,rf
8,0.7307692307692307,0.7506922546414034,0.5848825425305688,0.6218870258905326,-0.04494060202675976,-0.0782925782925783,-0.017109814982155414,-0.04494060202675976,-0.2,-0.1011061946902655,rf
9,0.6907051282051282,0.7811410220488395,0.5296868101129621,0.5581420583967189,-0.18956289027653878,-0.17149425287356324,-0.15241953577436454,-0.18956289027653878,-0.17149425287356324,-0.15241953577436454,rf
10,0.6875,0.6350809085927841,0.5372447131846664,0.5536448543548932,-0.12810878511361606,-0.12705530642750373,-0.09484184402709045,-0.12810878511361606,-0.12705530642750373,0.11805334746511215,rf
