fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.2,0.23176948051948051,0.24779310587909117,0.16428041600395726,0.014820635839744134,0.017983574058340446,0.013921924984600015
2,0.1584,0.17309734894861986,0.289187979539642,0.1373591686091686,-0.02546764920236458,-0.039713909279126686,-0.02671274660173828
3,0.1104,0.050235246956558434,0.24002849002849003,0.08047968021319121,0.0,0.0,0.0
4,0.1824,0.2646821798077435,0.24691994790980787,0.1616254537781995,-0.07493925895930353,-0.07260181504537613,-0.07809907266030273
5,0.1904,0.2690723385680125,0.24569370567375887,0.18220863489777844,-0.05533732107252329,-0.0033444816053511683,-0.044677398706937634
6,0.1904,0.23598190376889264,0.2474333561570847,0.171849220615876,-0.04129003013092286,0.05674275538287196,-0.022320930000871708
7,0.12179487179487179,0.10010823860599365,0.17894070735090153,0.1104606122059491,0.0,0.0,0.0
8,0.20993589743589744,0.25903761585005264,0.25978962557909924,0.17753602596890591,-0.09222711711834586,-0.11325611325611329,-0.096684504739216
9,0.11378205128205128,0.12026041666666666,0.26956981416334436,0.08837207699293381,-0.00847457627118644,-0.0044444444444444444,-0.008295096716149348
10,0.15064102564102563,0.18226911976911978,0.28434813189840047,0.1383631205448318,-0.05188763642869923,-0.07236437175767167,-0.05294281697013429
