fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.608,0.4961682146165472,0.4382699461570331,0.4498190680150827,-0.15304546833209254,-0.01798357405834039,-0.1309187413977588,-0.15304546833209254,0.2561516740621218,0.17026294781003676,xgb
2,0.6096,0.5942687414061368,0.44266005636316247,0.4674333270921366,-0.1407806300105272,-0.1820063993977038,-0.12882825880050675,-0.1407806300105272,-0.1820063993977038,-0.12882825880050675,xgb
3,0.6208,0.6068554740618268,0.4838570981863665,0.5123802857273041,-0.16795474464186116,-0.12272727272727268,-0.1422403510266678,-0.16795474464186116,0.14957705797400456,-0.1422403510266678,xgb
4,0.5904,0.5539582053954134,0.4478533698717185,0.4718320440243208,-0.07906458797327398,0.0030000750018750466,-0.052426568003649615,-0.07906458797327398,-0.29831460674157306,-0.16635815807164123,xgb
5,0.5968,0.5065333788770737,0.4240308383991895,0.43737494691186807,-0.13594024343064603,0.002842809364548504,-0.09058384371153624,-0.13594024343064603,0.21007566706491432,0.15592852179156647,xgb
6,0.6224,0.5563635462220368,0.44794325413609865,0.46337409486317344,-0.1325227315148122,-0.1131617289946576,-0.10227317218963647,-0.1325227315148122,-0.14816933638443935,0.14289877873992646,xgb
7,0.5961538461538461,0.5760111304167038,0.4526762598243181,0.47908786563677863,-0.06019449122616394,-0.0646677108972924,-0.07446034101740681,-0.06019449122616394,-0.2,0.1536735184209499,xgb
8,0.6137820512820513,0.6268533324268017,0.4872880591630591,0.522661403722041,-0.06443077510604345,0.01630201630201633,-0.03425020765446296,-0.06443077510604345,-0.2,0.10752602987391652,xgb
9,0.6105769230769231,0.600204795563361,0.45708859175512084,0.48372269670491286,-0.11563336306868865,-0.023601532567049888,-0.07739642482431225,-0.11563336306868865,-0.21428571428571427,0.11295648677618104,xgb
10,0.5849358974358975,0.5393178582908573,0.4448347025385312,0.4659379599873612,-0.10610127035247807,-0.0793985755737272,-0.08198327887116938,-0.10610127035247807,-0.21250000000000002,0.14331844449491513,xgb
