fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.7037037037037037,0.6234103572599147,0.6101339329494669,0.6148758648758649,0.132183908045977,0.5384615384615384,0.20626780626780628
2,0.6666666666666666,0.5772055719712958,0.5854315955558477,0.580822848366708,0.2120664739884393,-0.04864864864864871,0.10234679867032806
3,0.7354497354497355,0.6795392953929539,0.6525038910799824,0.6601718245553861,0.13931888544891638,0.33333333333333337,0.1731838720889816
4,0.6825396825396826,0.6273187741173166,0.612157683586255,0.6109902351253368,0.09350445259298062,0.0766129032258065,0.03830645161290325
5,0.6984126984126984,0.6340033122553447,0.62520964360587,0.625295757490571,0.2522982635342186,0.31428571428571433,0.17404262404262405
6,0.6702127659574468,0.6481200744014021,0.626984126984127,0.6309665391148824,0.47348484848484845,0.32380952380952377,0.3237368229734642
7,0.6968085106382979,0.5701413143273609,0.6055255255255255,0.5693143114195746,0.3072289156626506,0.44999999999999996,0.28641552511415524
8,0.6914893617021277,0.6218669363727131,0.6024187452758881,0.6066125868670844,0.17151162790697674,0.24060150375939854,0.1124234716143593
9,0.6595744680851063,0.6060912698412699,0.6151801071305716,0.6077822570446466,0.05087209302325579,0.11842105263157898,0.06418565069389894
10,0.6648936170212766,0.5972530179847254,0.6033333333333334,0.599745530722667,0.3021194605009634,0.41025641025641024,0.2916953693073096
