fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.4557823129251701,0.39997495586981896,0.39796713382018134,0.383543480757988,-0.1111111111111111,-0.217222847144107,-0.13624330965982193
2,0.4846938775510204,0.3255850079789863,0.41307010135135136,0.3567106089139987,-0.29121158739479347,-0.37902837902837905,-0.2920416947178767
3,0.47278911564625853,0.3092803845601952,0.4113879761470123,0.35089250071286004,-0.14493178817661728,-0.3100255427841635,-0.1857956377571372
4,0.5068027210884354,0.32752305166098267,0.41078431372549024,0.3627958256920793,-0.14991931934868707,-0.09144232215370734,-0.12443392472112416
5,0.4608843537414966,0.31414353856516425,0.40564377713354394,0.3462503051690082,-0.301546290859268,-0.3610344827586207,-0.30053830034441265
6,0.48211243611584326,0.31758863663864917,0.4217752234993615,0.3569015701580543,-0.26567629900963236,-0.509653647752395,-0.32604913954763004
7,0.4735945485519591,0.30315340680556674,0.38959566074950686,0.33957243214549165,-0.18109810981098112,-0.2909143855562027,-0.20266236410456762
8,0.47018739352640543,0.3966890641737268,0.39783523642219293,0.34516342885911305,-0.1556213852447454,-0.20806150978564764,-0.1449879808064451
9,0.4855195911413969,0.32044836152845146,0.40221363464527243,0.3490794345770017,-0.2771644718408518,-0.4592885375494071,-0.299738172960602
10,0.43270868824531517,0.2811805360978799,0.370403433987249,0.3153772273111713,-0.26538420519383565,-0.4080459770114942,-0.305039901083634
