fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.6661264181523501,0.6644229468272222,0.6547399248742598,0.6549591712635191,-0.15566169292985643,-0.061280824438719184,-0.14043343044611276
2,0.6774716369529984,0.6902573957605405,0.671880260942761,0.6672772847368065,-0.12063094754882053,-0.053846153846153766,-0.09655696062731234
3,0.6790923824959482,0.6724255901471092,0.6622456863250064,0.6639433551198257,-0.1946264744429882,-0.11294236602628915,-0.17875379170879674
4,0.700162074554295,0.6986519525379629,0.6884722606456555,0.689945537763653,-0.21585581706850365,-0.11551634278907008,-0.20530971778628762
5,0.7050243111831442,0.7106485169925565,0.6956034664975692,0.6955217891152036,-0.16330166270783852,-0.06314576531592087,-0.1124907570540957
6,0.6580226904376013,0.6620249869859449,0.6509234077540953,0.6487972397346562,-0.24808515561726252,-0.15895988711953235,-0.23994543659357115
7,0.6547811993517018,0.6587992770812154,0.6481401475237092,0.6458466389102228,-0.08722466960352426,-0.03897786151672156,-0.06455972958283313
8,0.6883116883116883,0.6930745949795264,0.6732372767643207,0.6728298755186721,-0.22060017203154725,-0.10863447867298581,-0.19057002640449738
9,0.6672077922077922,0.6684343434343434,0.6558825091623732,0.6551903033877525,-0.12487971252816854,-0.06245059288537547,-0.11104494818398128
10,0.698051948051948,0.6951980466630494,0.6848426461143224,0.6865500147729884,-0.2509031198686371,-0.173249299719888,-0.21465829575073275
