fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.82,0.7916431394692264,0.7508499271491015,0.7661122661122661,0.028508771929824483,0.02840909090909094,0.073728354978355,dp
2,0.82,0.7866666666666666,0.7610490529383196,0.7716894977168949,-0.10964912280701755,-0.03409090909090906,-0.1063311688311688,eo
3,0.74,0.6875,0.6428571428571428,0.6533333333333333,-0.042523033309709524,0.03735632183908044,-0.10132183908045977,dp
4,0.73,0.6722190852625636,0.6452380952380952,0.6534462841740469,-0.21899362154500357,-0.1293103448275862,-0.2846551724137931,eo
5,0.71,0.659132007233273,0.6213235294117647,0.6277756385573097,0.08499095840867987,0.04944178628389151,0.15199362041467307,dp
6,0.74,0.7027972027972028,0.6599264705882353,0.6702181633688482,-0.022905364677516582,0.03189792663476876,0.04322169059011166,eo
7,0.77,0.7079945799457995,0.6557584982242516,0.6702508960573477,-0.15773809523809523,-0.01736111111111116,-0.11939484126984132,dp
8,0.78,0.7231968810916178,0.6742770167427701,0.6894409937888198,-0.22023809523809523,-0.1440972222222222,-0.15776289682539682,eo
9,0.72,0.6504799548277809,0.6294317629917435,0.6361746361746362,-0.15000000000000002,-0.09283819628647205,-0.15031520203933993,dp
10,0.73,0.6706349206349207,0.6670713938805246,0.6687523003312477,-0.2124999999999999,-0.15251989389920428,-0.206130076819732,eo
11,0.71,0.7,0.6591680814940577,0.6640018537828757,0.05882352941176472,0.1428571428571429,0.14614121510673234,dp
12,0.66,0.6375,0.5933786078098472,0.587178241864983,0.07843137254901966,0.1428571428571429,0.13273125342090863,eo
13,0.68,0.5482778091473743,0.5482778091473743,0.5482778091473743,-0.21899362154500357,-0.5196078431372548,-0.1223039215686274,dp
14,0.7,0.552956465237167,0.5460191981931113,0.5479204339963833,-0.26718639262934085,-0.43790849673202614,-0.2106209150326797,eo
15,0.83,0.8399638336347197,0.7591911764705883,0.7817995122577333,0.18834688346883466,0.05555555555555558,0.20634920634920637,dp
16,0.82,0.83125,0.7435661764705883,0.7661122661122661,0.17615176151761514,0.05555555555555558,0.18849206349206352,eo
17,0.78,0.7046866177300959,0.6933333333333334,0.6984649122807017,0.07723577235772361,0.038461538461538436,0.2177601809954751,dp
18,0.78,0.7046866177300959,0.6933333333333334,0.6984649122807017,0.07723577235772361,0.15384615384615385,0.18354072398190047,eo
19,0.66,0.611518915866742,0.5868131868131868,0.587178241864983,-0.08114035087719296,0.08181818181818179,-0.030519480519480557,dp
20,0.72,0.70042194092827,0.6461538461538462,0.6527777777777778,-0.16228070175438603,-0.10909090909090902,-0.07835497835497834,eo
