fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.31746031746031744,0.5399958507453839,0.38583476932991495,0.24955141476880607,0.07701149425287357,0.05128205128205132,0.06082621082621087,cp
2,0.3915343915343915,0.41170145477545855,0.42917041030248576,0.29589074208363547,0.12825144508670516,0.027027027027026973,0.08570602688249745,cp
3,0.42857142857142855,0.5074190177638453,0.46255496622693687,0.40000992671212926,0.01981424148606803,0.0121212121212122,0.007103358928176484,cp
4,0.36507936507936506,0.3859022556390977,0.42508285365428217,0.28954585416420636,0.07438449449973805,-0.092741935483871,0.009184587813620082,cp
5,0.4444444444444444,0.6471048513302035,0.4925183438155136,0.387568264965271,-0.025536261491317602,0.02857142857142858,-0.08536463536463534,cp
6,0.46808510638297873,0.7413329026701119,0.47130647130647135,0.37872034863566584,0.1609848484848484,0.06666666666666665,0.08600508905852416,cp
7,0.425531914893617,0.388881294144452,0.4924924924924925,0.32535140562248993,0.07393209200438111,0.0,0.0045662100456621,cp
8,0.35638297872340424,0.48515769944341375,0.3961451247165533,0.3097718253968254,0.10174418604651159,0.015037593984962405,0.0750975697951346,cp
9,0.324468085106383,0.5042735042735043,0.3913705833210477,0.2732266847099383,-0.15552325581395354,0.10526315789473684,-0.06988085886357681,cp
10,0.3882978723404255,0.3867413632119514,0.42151515151515156,0.29521839944851785,-0.08747591522158005,0.05128205128205132,-0.06615001913509377,cp
