fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.7037037037037037,0.6198006023244943,0.6050729206069012,0.6083561210471803,-0.029885057471264354,0.06153846153846154,-0.039601139601139604,dp
2,0.6507936507936508,0.5556184012066364,0.5662203522304765,0.5599002849002849,0.13222543352601157,-0.24864864864864866,-0.008682613094377803,dp
3,0.708994708994709,0.635831752055661,0.6106842256373061,0.6180749715232473,-0.024458204334365324,-0.2666666666666666,-0.13046576294751475,dp
4,0.6613756613756614,0.5918379151070458,0.5822431536717251,0.5790254538065503,-0.005500261917234156,-0.1733870967741935,-0.09410095579450416,dp
5,0.6931216931216931,0.6256104072617834,0.6181472746331237,0.6134950654319377,0.13329928498467825,0.05714285714285716,0.03498168498168498,dp
6,0.6542553191489362,0.6294496476674695,0.6077533577533577,0.6107953293677022,-0.032196969696969696,-0.22539682539682537,-0.15849993941596993,dp
7,0.7074468085106383,0.5882783882783883,0.6075008341675009,0.5901240028175012,0.040525739320920046,-0.22142857142857147,-0.10569145466405742,dp
8,0.6861702127659575,0.6116405718175629,0.5950113378684807,0.5991750043882745,0.11482558139534885,0.12406015037593981,0.054152794922629935,dp
9,0.6702127659574468,0.6248226950354611,0.631279178338002,0.626989459052473,-0.0683139534883721,-0.1578947368421053,-0.10817622414244568,dp
10,0.6595744680851063,0.5956748888312827,0.6,0.5975674072120772,0.018111753371868988,0.01025641025641022,-0.01949866054343667,dp
