fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.6735193343122858,0.6482221392393929,0.6544179974397265,0.6502931889321734,0.04507750835525845,-0.0020609677320126973,0.009266019666230904,eo
2,0.6847772883015174,0.660974974170576,0.6713834485336411,0.6627786772805786,0.0433653195439796,-0.05972310722354168,-0.0178283875246021,eo
3,0.6867351933431228,0.6619392981405646,0.6767103853321125,0.6639231003441725,0.042177919688120485,-0.06417944873716985,-0.023181508257575895,eo
4,0.6921194322075379,0.6623643811728303,0.6764827976932053,0.66480221173871,0.03520623297298234,-0.027965682230655042,-0.006056446987485739,eo
5,0.6779246206558982,0.6476050691624625,0.6610002725878853,0.6509423896963719,0.044085401038661265,0.0009124087591240726,0.018487974049455305,eo
6,0.6691140479686735,0.6455076087914101,0.6563923909669743,0.648599499291972,0.026387589355889085,-0.016653308397898303,-0.010656495672216923,eo
7,0.6363191385217817,0.615718312131844,0.6262510895807084,0.6196238094479648,0.05998153881656121,0.1261424407911491,0.06937840492681657,eo
8,0.6723800195886386,0.6533788793366259,0.6673043086750363,0.6574938128744513,0.02021736610764882,-0.0019358835372464411,-0.007499693623192388,eo
9,0.6733594515181195,0.6447993393990085,0.6603063493421168,0.6474352431916409,0.04681786497616344,-0.02432208407341624,0.005565417550216584,eo
10,0.6474045053868757,0.6262735669672792,0.6317239337723723,0.6275478633186439,0.055014410694069815,-0.009561482820976519,0.021505823794832152,eo
