fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.7315436241610739,0.7178929641285474,0.7260032495326613,0.7164407174470068,-0.05204872646733111,-0.15714285714285714,-0.0940321583178726,dp
2,0.6241610738255033,0.6289164324048045,0.6362394903418747,0.631263284634098,0.060742609949531345,-0.06666666666666665,-0.005046695402298844,dp
3,0.7114093959731543,0.684539124668435,0.6879794313369632,0.6746672154482003,0.07070524412296564,0.07777777777777783,0.038342440801457225,dp
4,0.6912751677852349,0.6760883458646616,0.6697059916497257,0.6605760146352526,-0.0335861321776815,-0.07692307692307698,-0.05689655172413796,dp
5,0.6375838926174496,0.6020500333000334,0.6280621266427718,0.6018081037435876,-0.01977401129943504,-0.1270903010033445,-0.0703589078021265,dp
6,0.6912751677852349,0.7032670032670032,0.7027162889143663,0.6995451687197733,0.005786618444846292,-0.20707070707070707,-0.10436891841448663,dp
7,0.6644295302013423,0.6203724733136499,0.6544649859943977,0.6309568078975726,-0.028222730739893204,-0.23504273504273498,-0.15729409479409476,dp
8,0.6040268456375839,0.6020833333333333,0.6335472716938234,0.5907531210100723,-0.06637806637806637,-0.25454545454545463,-0.1463343108504399,dp
9,0.6510067114093959,0.631750179018976,0.6335434739552387,0.628970829465979,0.001444564824846506,-0.24444444444444446,-0.12247823860727088,dp
10,0.5906040268456376,0.5894368977127599,0.6167966155810983,0.5906774102709427,0.11837837837837836,-0.05555555555555547,0.010548807917229008,dp
