fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.47278911564625853,0.4715000350479473,0.40474302617792796,0.38285001175460204,0.09050403787245892,0.028371453568304006,0.07665654844615015,dp
2,0.49829931972789115,0.33325386773945215,0.42048845720720723,0.3609721392185321,-0.10432569974554706,-0.16762866762866757,-0.09851846702872569,dp
3,0.4931972789115646,0.5514672488494479,0.4377548552476111,0.4081837870054715,0.022230519956792538,-0.1165389527458493,-0.011360991572543666,dp
4,0.5255102040816326,0.49182889088549464,0.4259290682084799,0.3909870094754139,0.051488924746956155,0.025266957437208637,0.05476220235417727,dp
5,0.45068027210884354,0.516107700942012,0.39852790855539166,0.36294413306935663,0.013427285183010368,0.05931034482758618,0.03490487157143447,dp
6,0.4855195911413969,0.3203414545233611,0.41908410873928115,0.35300536672629695,-0.05719712386379053,-0.28017686072218123,-0.11215178892571075,dp
7,0.5059625212947189,0.5138140549635329,0.43361285685700396,0.41260586508684666,-0.017641764176417662,-0.12317996505532908,-0.03402534094683629,dp
8,0.4804088586030664,0.47224340204420584,0.4186477667598949,0.38905350836665686,-0.03096346452249965,-0.13047530288909592,-0.022325137601801562,dp
9,0.4855195911413969,0.46106859309062304,0.41267126428077433,0.3845108167270597,-0.08702717848136735,-0.2615283267457181,-0.10351603349859514,dp
10,0.4395229982964225,0.3802516927516928,0.37196799367226374,0.326544382605087,-0.01471764517677171,-0.1104053236539625,-0.0410818731128227,dp
