fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.4608843537414966,0.4552852468345426,0.46532645601430617,0.45653590711889186,0.0582010582010582,0.09098862642169736,0.06895369696435008,eo
2,0.47619047619047616,0.4644471026049974,0.4600839998161426,0.4511238293033856,0.0036797807790173997,0.1032948532948533,0.03956000470273442,eo
3,0.4574829931972789,0.44723617091819595,0.44912118747333024,0.44707691399617283,-0.041220478216224155,-0.06609195402298851,-0.0438140273858626,eo
4,0.4574829931972789,0.43682676658835856,0.4383107088989442,0.43565024795220314,0.05107551975675784,0.07835764776658144,0.06576068950625222,eo
5,0.467687074829932,0.4587120542292957,0.46007803387392215,0.45923153645691733,-0.02051282051282055,0.001954022988505666,0.0017742437445536496,eo
6,0.44293015332197616,0.4226587228011331,0.41666864980208307,0.4141470719542646,0.007800841134174452,0.001915991156963892,0.009915102390929381,eo
7,0.46337308347529815,0.4568186023761136,0.4664293064794737,0.4555702497828445,-0.0256782821139257,0.06857891671520094,0.01263715648667342,eo
8,0.3730834752981261,0.38852012563605104,0.37377050443412,0.36443992762988686,0.033022993370009884,0.046132339235787495,0.0507170555536634,eo
9,0.43781942078364566,0.4349872642014631,0.4354466503026786,0.4274425554775907,-0.07440459512468478,-0.1492753623188406,-0.07651576487738941,eo
10,0.4735945485519591,0.4688443935926774,0.47699593789468864,0.47107266117021745,-0.030928384791766683,0.03584392014519061,-0.009941984037673629,eo
