fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.3952,0.24149982346913293,0.24090718625602348,0.1963180610077606,0.0027711142360823393,0.0039648824695552864,0.002513039041640075,cp
2,0.4192,0.24385267660755733,0.2517038372005707,0.2279905347282576,-0.01921883013469383,-0.0662525879917184,-0.02260619943321146,cp
3,0.4464,0.30068187531422824,0.2604574513111098,0.19832571231423457,0.0035853716835312355,0.00303030303030305,0.0036451677032745544,cp
4,0.3952,0.26730102506037134,0.24746107345093343,0.18515363580479177,-0.019778801376796995,-0.013725343133578427,-0.01743147890623875,cp
5,0.4288,0.2562732589048379,0.2651399442755826,0.20331419700045245,0.019938695949766383,0.02926421404682278,0.02257256490052656,cp
6,0.4368,0.35874799357945425,0.25227272727272726,0.1560705000302316,0.004319654427645814,0.0,0.0040000000000000036,cp
7,0.41025641025641024,0.2008025892967495,0.2503230466944059,0.20334060913686614,0.01195197479219856,0.04945177892145891,0.01167410677821673,cp
8,0.4599358974358974,0.3438804658316853,0.2736203672058935,0.2179096243773451,0.004937328659692541,0.0358215358215358,0.01165805405926984,cp
9,0.44711538461538464,0.22723503693652947,0.2482071054326446,0.16630978249404021,0.0010035682426404735,-0.02505747126436786,-0.0029241185247672608,cp
10,0.4407051282051282,0.2598546042003231,0.25164740470397406,0.15908296301551028,-0.008319914117015492,0.008968609865470878,-0.005108807256417103,cp
