fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.6984126984126984,0.611962111962112,0.5967756623096429,0.5980519480519481,-0.10804597701149427,-0.18974358974358974,-0.16524216524216523,eo
2,0.6455026455026455,0.5289085973200398,0.5481194165041381,0.5345712886745563,-0.033236994219653204,-0.47567567567567565,-0.18970949559184852,eo
3,0.7037037037037037,0.6217429343071247,0.6049722713329405,0.6012956310828651,0.12167182662538698,0.36363636363636365,0.17373684709451132,eo
4,0.6613756613756614,0.5909362269981738,0.5835077620791906,0.5716234497285323,-0.04164484023048717,-0.23790322580645162,-0.14117383512544804,eo
5,0.6984126984126984,0.6390969774121948,0.6285246331236897,0.6217005800185483,0.22420837589376913,0.22857142857142865,0.12419247419247423,eo
6,0.6436170212765957,0.6020344898849572,0.5900488400488401,0.5870557745226843,0.1950757575757576,-0.12698412698412703,0.0830728220041197,eo
7,0.6861702127659575,0.5491067042791181,0.5865131798465132,0.5523998493757785,0.004381161007667028,-0.2714285714285714,-0.14781474233529027,eo
8,0.6542553191489362,0.5691230630255021,0.5625850340136055,0.5641299945883373,0.046511627906976744,-0.16165413533834588,-0.03688013566253945,eo
9,0.6595744680851063,0.600930115635998,0.6119268760135633,0.5985074405612769,-0.09738372093023256,-0.21052631578947367,-0.14568604346687614,eo
10,0.6170212765957447,0.5252771301419386,0.5436363636363636,0.5299178981937603,0.12254335260115612,0.18461538461538463,0.10275545350172217,eo
