fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.6813509544787077,0.6559998382187145,0.6613992864951908,0.657549284126147,0.06148759155230035,-0.008120828078378273,0.01567029279150621,cp
2,0.7136563876651982,0.6909532954125099,0.7046153767591509,0.6908096973570728,0.07782540040604555,-0.0034756415455019507,0.02195767499115618,cp
3,0.6945668135095447,0.6705649377701239,0.6906035133335652,0.6543663068648283,0.036675661325633324,-0.046649752047053406,-0.01456978051030048,cp
4,0.723935389133627,0.7006516090821772,0.7111423867339458,0.6873506652185718,0.016828332957365216,-0.03759005664631798,-0.02379999824873754,cp
5,0.6891825746451297,0.6535200696490878,0.6680850497242484,0.6539070914200201,0.021448913873015285,-0.05494728304947283,-0.014962561143216715,cp
6,0.6852667645619187,0.6619615533685875,0.6765724582474597,0.6646643112908666,0.0236011826789925,-0.020037403152551425,-0.015937334735944733,cp
7,0.6637298091042585,0.6396668658243772,0.6578716575736298,0.6430483550511851,0.03656275840849213,0.07054129764296424,0.030827324031599906,cp
8,0.688050930460333,0.6663981222116678,0.6812649373827492,0.6675058268127004,0.056163907240484645,0.0012905890248309237,0.0148551665267629,cp
9,0.6807051909892262,0.6523601603317793,0.6695059539025024,0.6540520581383605,0.030960333926020156,-0.027874481941977503,-0.006903576960580554,cp
10,0.6968658178256611,0.6692877931351823,0.6817327462070476,0.6667570201197656,0.017073665095140245,0.0366636528028933,0.00830873258756007,cp
