fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.697986577181208,0.7038134360290972,0.6911488087958676,0.6898762425118208,-0.06164636397194534,-0.1785714285714286,-0.10768398268398269,eo
2,0.5503355704697986,0.5650831926693995,0.5641827140705121,0.5632442569151429,0.15663302090843545,0.16666666666666663,0.14771910919540227,eo
3,0.6241610738255033,0.5848489395076042,0.596204303863106,0.5823520836699878,0.04990958408679927,-0.033333333333333326,-0.009699453551912568,eo
4,0.6711409395973155,0.643782249742002,0.6524080267558527,0.6386036286564651,0.022751895991332594,0.07692307692307687,0.03726790450928379,eo
5,0.6442953020134228,0.6152004320789899,0.633536439665472,0.6184228466880362,0.0018832391713747565,-0.117056856187291,-0.05382369090999852,eo
6,0.6174496644295302,0.6328166570271833,0.624728812064556,0.622669967148215,0.000904159132007254,-0.20707070707070707,-0.10520248329361973,eo
7,0.6845637583892618,0.6666841311423355,0.6766274509803922,0.6674845938375351,0.03699466056445461,-0.11965811965811957,-0.07687451437451433,eo
8,0.5838926174496645,0.599459296325863,0.619141562460528,0.5721466537411317,-0.05609668109668109,-0.07272727272727275,-0.06446725317693061,eo
9,0.5906040268456376,0.5648415771871149,0.5597185581303229,0.5527037674580202,0.029794149512459372,-0.11111111111111116,-0.04889912954429086,eo
10,0.5436241610738255,0.5480933101985734,0.5704246487867177,0.5360008072585807,0.1845045045045045,0.05555555555555558,0.10551057130004499,eo
