fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.7972972972972973,0.841550925925926,0.8550724637681159,0.8060189914122499,0.05426086956521742,0.0,-0.0038659793814432852,cp
2,0.7905405405405406,0.8457711442786069,0.8273866923818707,0.7902845851616767,0.1291056910569106,0.0,-0.0058419243986254366,cp
3,0.7837837837837838,0.8138418079096045,0.8282439782439782,0.779654518345623,0.08608731130150954,0.04347826086956519,-0.027003007929997283,cp
4,0.8027210884353742,0.8296296296296296,0.8123543123543122,0.7976051493795048,0.2347560975609756,0.06451612903225812,0.12899719495091166,cp
5,0.8027210884353742,0.826241134751773,0.8578106684861527,0.8047514136740839,0.13358778625954199,-0.1428571428571429,-0.07958351536333191,cp
6,0.6938775510204082,0.7887323943661971,0.7766370699223085,0.6848287045327285,-0.34660633484162895,0.0,-0.17421383647798744,cp
7,0.8571428571428571,0.8605128205128206,0.8793175593426659,0.8498666695612217,0.10076287349014623,0.04761904761904767,-0.07119047619047617,cp
8,0.8231292517006803,0.8624338624338624,0.8443562610229277,0.819031339031339,0.06481481481481477,0.0,-0.0651595744680851,cp
9,0.782312925170068,0.8328664799253035,0.7934376943810907,0.7757379621457291,0.043999999999999984,0.08571428571428574,0.03730158730158731,cp
10,0.8027210884353742,0.8242424242424242,0.8567447045707915,0.7930414074204925,-0.1031746031746032,0.0,-0.10208333333333333,cp
