fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.9864864864864865,0.9833333333333334,0.9903381642512077,0.9866578851828752,0.07234782608695653,0.0,-0.005154639175257732,eo
2,0.9797297297297297,0.9797235023041475,0.9760170006071646,0.9777854116569334,0.19674796747967482,0.07692307692307687,0.0333068992862807,eo
3,0.9864864864864865,0.9901960784313726,0.9777777777777779,0.9835306227483273,0.2056303549571603,0.08695652173913049,0.043478260869565244,eo
4,0.9795918367346939,0.9818181818181818,0.9795454545454545,0.9802619568186034,0.13109756097560976,0.032258064516129004,0.016129032258064502,eo
5,0.9863945578231292,0.9810983397190295,0.9810983397190295,0.9810983397190295,0.19942748091603055,-0.1428571428571429,-0.0760157273918742,eo
6,0.9931972789115646,0.9876543209876543,0.9937106918238993,0.9905360886492961,-0.008144796380090497,0.0,0.03333333333333333,eo
7,0.9795918367346939,0.9821428571428571,0.9737903225806451,0.9773629728010804,0.26605212968849334,0.09523809523809523,0.047619047619047616,eo
8,0.9931972789115646,0.9941520467836257,0.9938271604938271,0.9939348826951176,0.1907407407407407,0.0,0.0,eo
9,0.9659863945578231,0.9700176366843033,0.9603174603174603,0.9634420097766444,0.07818181818181819,0.1428571428571429,0.07142857142857145,eo
10,0.9931972789115646,0.9952380952380953,0.9871794871794872,0.9910659707528096,0.07936507936507936,0.04761904761904767,0.023809523809523836,eo
