fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.45,0.4263727858293076,0.37437988386264254,0.3636843706835542,0.23046713517982637,0.11313131313131308,0.09603075767459326,cp
2,0.43,0.4576968035683633,0.387183317771553,0.37674198513761337,0.2539570521221898,0.2090909090909091,0.16551411551411555,cp
3,0.385,0.436289470333588,0.3807814992025519,0.3440204728379279,0.13667890656874748,0.3416666666666667,0.15348158131177,cp
4,0.4,0.42734888474874505,0.35830154667853564,0.3427302237938239,0.1162045841257131,0.33554817275747506,0.12610741971207087,cp
5,0.40703517587939697,0.4447605231647785,0.38883838383838387,0.3482841414775576,0.17669706180344485,0.23076923076923084,0.1191724941724942,cp
6,0.4824120603015075,0.4967808661926309,0.4473401406145917,0.4311758997781265,0.25060728744939265,0.926829268292683,0.47135114208284945,cp
7,0.37185929648241206,0.42565826330532214,0.36550694919115967,0.35012677159462874,0.20575757575757575,0.44126984126984126,0.25567765567765566,cp
8,0.46733668341708545,0.48173275750206146,0.4301465291709194,0.42128124436096764,0.17616161616161624,0.3090909090909091,0.11762731650372099,cp
9,0.38190954773869346,0.43953537083327576,0.3688611626590858,0.33813067150635207,0.17606060606060608,0.5384615384615385,0.2694025905366112,cp
10,0.37185929648241206,0.38150278293135437,0.3559034531360113,0.3227711542235131,0.17595959595959593,0.3476702508960573,0.19678198535141028,cp
