fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.295,0.1458874458874459,0.19603808353808355,0.13709106984969055,-0.08515915667631258,-0.0888888888888888,-0.08488801913459443,cp
2,0.28,0.11305683563748078,0.21544973544973542,0.11931972789115645,-0.007460429478778119,-0.045454545454545414,-0.03184408184408183,cp
3,0.19,0.038,0.2,0.06386554621848739,0.0,0.0,0.0,cp
4,0.25,0.05,0.2,0.08,0.0,0.0,0.0,cp
5,0.22613065326633167,0.04522613065326633,0.2,0.07377049180327869,0.0,0.0,0.0,cp
6,0.20603015075376885,0.06232804232804232,0.1901281442809682,0.07574517825832847,0.024696356275303644,-0.07317073170731703,-0.012263809274037418,cp
7,0.20100502512562815,0.05967816091954024,0.18325358851674642,0.08242318334061453,0.03141414141414145,0.10793650793650789,0.06678876678876677,cp
8,0.271356783919598,0.07608465608465609,0.20185185185185187,0.0959384505278225,0.020606060606060517,-0.022727272727272707,-0.0044414854808113025,cp
9,0.21105527638190955,0.04221105527638191,0.2,0.06970954356846473,0.0,0.0,0.0,cp
10,0.20100502512562815,0.04020100502512563,0.2,0.06694560669456066,0.0,0.0,0.0,cp
