fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.6825396825396826,0.5872821707684093,0.5870669244455652,0.5859835521696874,-0.11379310344827587,-0.18974358974358974,-0.16894586894586894,cp
2,0.6296296296296297,0.5489264214861933,0.5544160293354955,0.5503670017244168,0.0014450867052023253,-0.14054054054054055,-0.06392000289059113,cp
3,0.7354497354497355,0.6828078078078078,0.6628549193828671,0.668888888888889,-0.04210526315789476,-0.1575757575757576,-0.11163459411634595,cp
4,0.6455026455026455,0.5666163901458019,0.5613553113553112,0.5630813380579979,-0.05631220534311157,-0.16935483870967744,-0.11801075268817204,cp
5,0.671957671957672,0.5999113320541892,0.6103904612159329,0.5979400749063671,0.20735444330949948,0.20000000000000007,0.10291375291375295,cp
6,0.6382978723404256,0.5975274725274725,0.5860805860805861,0.5851063829787234,0.1174242424242424,-0.24761904761904763,0.022755361686659398,cp
7,0.7074468085106383,0.5827682797256833,0.6001735068401736,0.5758981646527954,0.17086527929901424,-0.02857142857142858,0.05055446836268754,cp
8,0.675531914893617,0.5908486861975234,0.5842025699168556,0.5844988344988344,0.023255813953488386,0.0714285714285714,-0.038912579957356086,cp
9,0.6276595744680851,0.5693018193018192,0.5761904761904763,0.567261228206611,-0.02906976744186046,0.17105263157894735,0.030178057083006006,cp
10,0.6170212765957447,0.5492127470784799,0.5521212121212121,0.5496093288431999,0.006551059730250497,-0.11282051282051275,-0.049693838499808615,cp
