fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.6507936507936508,0.5967015647866711,0.5991082811471161,0.58878889326254,-0.14482758620689656,-0.06666666666666665,-0.15925925925925924,dp
2,0.5767195767195767,0.4953967967847677,0.507432486723789,0.4907312440645774,0.16473988439306358,0.45945945945945943,0.2263874837404249,dp
3,0.6137566137566137,0.5172498377882226,0.560228629282077,0.5252237364623019,0.004024767801857565,0.2727272727272727,0.06623850601952791,dp
4,0.5608465608465608,0.5247844827586207,0.510334903192046,0.5058942437583215,-0.0885280251440545,0.04838709677419356,-0.07210274790919953,dp
5,0.6084656084656085,0.6047796565037945,0.586124213836478,0.5632569584252068,0.16343207354443307,0.34285714285714286,0.09741924741924742,dp
6,0.5691489361702128,0.5297998904556281,0.5296092796092796,0.5259964704294814,0.009469696969696961,-0.24761904761904763,-0.04976372228280623,dp
7,0.6542553191489362,0.54757343550447,0.5758224891558225,0.5381088094804065,0.15607886089813805,0.11428571428571432,0.08773646444879324,dp
8,0.601063829787234,0.5577597840755736,0.5486016628873772,0.5401949081273377,0.03197674418604651,0.13533834586466165,-0.014834973004650948,dp
9,0.5691489361702128,0.5322932845887528,0.5329401936213082,0.5139906324990987,-0.07122093023255816,0.14473684210526316,-0.0047460068080649315,dp
10,0.5797872340425532,0.5298051963953374,0.5245454545454545,0.5199447599319024,0.06473988439306361,0.11282051282051281,0.0608878683505549,dp
