fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.7484092021536956,0.7791347425026899,0.7784269776934037,0.7640014734379648,-0.013951503946526334,-0.009566581562029053,-0.060369718814075754,dp
2,0.7635829662261381,0.7914850646859799,0.7945467431988614,0.780533679780158,-0.025605164066702546,-0.0362045994323118,-0.08481323431899643,dp
3,0.7660303475281449,0.8007647692784258,0.7973471579916179,0.7864186424947226,0.029707831171948307,-0.049878906700495884,-0.06035794895738812,dp
4,0.7645619187469408,0.7943522738069753,0.7978841946989584,0.7815746757183529,0.00035745891825295084,0.016663916845405025,-0.041424642657937716,dp
5,0.7723935389133627,0.7966258734198622,0.8001933858623304,0.7875652895773223,-0.04942017385477354,-0.04065287915652882,-0.07869788942402549,dp
6,0.7528144884973079,0.7868637022939985,0.7869060642823458,0.7742631113699696,0.010621655002058472,-0.052542523822246,-0.06704697026651263,dp
7,0.7860988742046011,0.8262307579236333,0.8146695716667468,0.7970326607087052,0.018695794311647862,0.007951104948926146,-0.04715371651280938,dp
8,0.7536728697355534,0.7859410687098597,0.7794748214502819,0.7694603057265356,0.025211972075855238,-0.04591915750348463,-0.050915680488108184,dp
9,0.7580803134182175,0.7863804076918831,0.7891345190134217,0.7773449774163445,0.046045010142689746,0.016175251628182452,-0.010167374999049114,dp
10,0.7688540646425074,0.7950378673996764,0.793434742403203,0.7827246852717608,-0.0032397283637723984,0.03166817359855334,-0.03171960947290224,dp
