fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.5102040816326531,0.5256095274403508,0.5567071585564719,0.5021405746729077,0.07296017822333611,0.22359705036870392,0.11608774087062648,dp
2,0.5204081632653061,0.5669257422595206,0.5708079571918857,0.5075559967199984,-0.07289097670777067,0.020803270803270824,-0.014040826685786545,dp
3,0.532312925170068,0.5855960560796364,0.5860288102929555,0.5272631762732193,0.01818981956872523,0.07343550446998715,0.0465994888807591,dp
4,0.4642857142857143,0.5061858669390573,0.5355633065191888,0.4614255057873748,0.008574819635403463,0.26635584298390735,0.09354974145281475,dp
5,0.5425170068027211,0.554566533290317,0.5660579633680001,0.5361476865099352,-0.029438246232139365,0.18206896551724128,0.04820957301132822,dp
6,0.5195911413969335,0.5185086859275458,0.5229587587158802,0.5016858313290061,-0.06765703432370102,0.0029476787030213725,-0.035644187001166644,dp
7,0.534923339011925,0.5633454106280192,0.6017614678149795,0.5358570306293547,0.0008100810081008158,0.20981362842166573,0.08341217473216983,dp
8,0.5195911413969335,0.540882715023358,0.5549459122113585,0.5112848759945342,-0.011877556778106924,0.1211556383970177,0.06433266415974917,dp
9,0.5383304940374787,0.5901121380526415,0.5889943207219402,0.5314874301589062,-0.030848977304567038,0.11910408432147557,0.049111169965926404,dp
10,0.4752981260647359,0.4922317359725312,0.5212112354756397,0.4646192035816967,0.009078547432410822,0.20432546884452507,0.06863429054127099,dp
