fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.712,0.742462970898705,0.5577898824685851,0.5936616320685983,-0.14904734331485925,-0.08467856131407536,-0.1304185165961958,cp
2,0.7168,0.797949878308488,0.5606191113525834,0.5996138754282316,-0.10984695117013521,-0.11669489930359489,-0.08411577116479982,cp
3,0.7056,0.7993290200975971,0.5442589591979836,0.5751948139373692,-0.16398427748120997,-0.08333333333333337,-0.12350188861435349,cp
4,0.6992,0.755737264729951,0.5586769780999621,0.6019163037093123,-0.10370267260579069,-0.11242781069526742,-0.08201207048524839,cp
5,0.696,0.7851528084256811,0.5395063956433637,0.5699934376138585,-0.16721721274886164,-0.07107023411371238,-0.11568623460277964,cp
6,0.72,0.6739932204765964,0.5447775590884848,0.5571859660212306,-0.05384902541130043,-0.03634450380443577,-0.008326098056064019,cp
7,0.7003205128205128,0.5457839578850143,0.5034425566343042,0.5138734405024717,-0.09871244635193133,-0.04520026851644665,-0.12351269792545591,cp
8,0.7291666666666666,0.7577366030065547,0.5816406546669705,0.6217720132104134,-0.05992989538864413,-0.09180609180609178,-0.03202983704503462,cp
9,0.6875,0.7292669497298034,0.5358438662543442,0.5732818375587018,-0.12120874219446925,-0.09417624521072798,-0.08259936388368255,cp
10,0.7035256410256411,0.6773361388136278,0.5526938829901575,0.5770641702550197,-0.18071211307926277,-0.17638266068759345,-0.1443514632051227,cp
