fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.53,0.4641929920116194,0.46749182492716973,0.4574744885621705,0.5004133939644482,0.48282828282828283,0.3738342327383423
2,0.485,0.4583592885096083,0.45673825085589803,0.4474717948717949,0.38925294888597645,0.24090909090909096,0.23878313044979715
3,0.475,0.4405040378724589,0.4723883572567783,0.4473321221786536,0.36270909832721343,0.30000000000000004,0.25933288409703503
4,0.52,0.47523444976076556,0.4883500611995104,0.47941752759215317,0.373235912321089,0.36212624584717606,0.2643964562569214
5,0.457286432160804,0.4418889294848373,0.43368686868686873,0.42833486284935274,0.43252279635258356,0.6794871794871795,0.4533799533799534
6,0.542713567839196,0.5212584281327519,0.5090717037601407,0.5055929010852285,0.46659919028340086,0.8292682926829268,0.5464825846415146
7,0.4824120603015075,0.466320629724885,0.4874971519708362,0.46926610644257705,0.4192929292929293,0.6349206349206349,0.43583638583638584
8,0.5326633165829145,0.506873149446782,0.5173513297903541,0.5065406107862248,0.2783838383838384,0.10454545454545461,0.112164380563257
9,0.507537688442211,0.5035576137901719,0.4866347037887291,0.4804750296159231,0.39474747474747474,0.48717948717948717,0.33250726936293945
10,0.4623115577889447,0.43455157522954135,0.4596314305849189,0.4370258410216895,0.5095959595959596,0.7132616487455197,0.533925510363098
