fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.6984126984126984,0.611038961038961,0.6061761862732736,0.607213991016808,-0.035632183908045956,0.03589743589743588,-0.052421652421652434
2,0.6507936507936508,0.5734652998703901,0.5717864995361545,0.5721173819948228,0.30924855491329484,0.5135135135135135,0.3379733342968637
3,0.7248677248677249,0.6827771272443403,0.6453110597337445,0.659733503211764,0.1043343653250774,0.36363636363636365,0.15992037159920372
4,0.6772486772486772,0.6100589225589226,0.5972004186289901,0.6015533980582525,-0.0007857517024620342,-0.1088709677419355,-0.07295400238948627
5,0.6984126984126984,0.6324262263044752,0.6236635220125786,0.6187943640166323,0.33758937691521956,0.25714285714285723,0.23230103230103233
6,0.6276595744680851,0.5842424242424242,0.5781440781440782,0.5769927536231884,0.10606060606060605,-0.08253968253968252,-0.00615533745304736
7,0.7127659574468085,0.6039479039479039,0.6178311644978312,0.6039755552923318,0.2524644030668127,0.16428571428571426,0.16410632746249182
8,0.6595744680851063,0.5895697382021259,0.5579743008314436,0.5627434902623992,0.1438953488372093,0.29323308270676696,0.09810907866681631
9,0.6382978723404256,0.5747334348819497,0.584608580274215,0.5764172335600907,0.0625,0.14473684210526316,0.08107488871432313
10,0.675531914893617,0.5934812991826938,0.5845454545454546,0.5870999640417116,0.15414258188824662,0.18974358974358974,0.13890164561806354
