fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.7185511502692119,0.7212959857472875,0.7314246132532901,0.725921100532279,0.009891203868306886,-0.07840905595373593,-0.055235328063736724
2,0.7258932941752325,0.7304478270471328,0.7423084688809979,0.7354824159519607,-0.00428430130663382,0.026646585182181548,-0.02937836159286311
3,0.7361722956436613,0.7478744144654215,0.7569856013980701,0.7518293407465171,0.026922153772301782,-0.1071964017991005,-0.06576278172340712
4,0.7258932941752325,0.728447696028215,0.7431186465039974,0.7347752286151091,0.01991879088653281,-0.033740306880052806,-0.03186913396811285
5,0.7366617719040627,0.7418251084193446,0.7525525072856999,0.7467236246622959,-0.034744895110101814,-0.1371654501216545,-0.09260321933448606
6,0.7190406265296133,0.7300273081153598,0.7416407974860402,0.7352909971304036,0.023007971855234066,-0.04149968830706208,-0.03804082010984565
7,0.7425354870288791,0.7516022286878167,0.7610939781100717,0.7559716461163083,0.04018384261841118,0.0075266687416880584,-0.012885442163143565
8,0.7238001958863859,0.7315646329565263,0.7414838744133073,0.7359378291227209,0.05885646525976057,-0.07929378968561251,-0.025849715418334085
9,0.7198824681684622,0.728711795248789,0.7395624846378034,0.733541380304794,0.040028607163985264,0.013735938425103567,0.000566131515365248
10,0.7389813907933399,0.7446215595946969,0.7525554403036537,0.7482401755988818,0.03192269474211529,0.023395117540687127,-0.00016168254108220315
